,0,1,2,3,4,sentence
77,90,"that you're here to steal from me, or that we are actually asleep",132,SAITO,12,"that you're here to steal from me, or that we are actually asleep"
78,91,i want to know the name of your employer.,135,SAITO,12,i want to know the name of your employer.
79,92,"ah, there's no use threatening him in a dream, right, mal",137,COBB,12,"ah, there's no use threatening him in a dream, right, mal"
80,93,that depends on what you're threatening.,138,MAL,12,that depends on what you're threatening.
81,94,killing him would just wake him up.,138,MAL,12,killing him would just wake him up.
82,95,but pain...,138,MAL,12,but pain...
83,97,pain is in the mind.,142,MAL,12,pain is in the mind.
84,98,"and judging by the decor, we're in your mind, aren't we, arthur",142,MAL,12,"and judging by the decor, we're in your mind, aren't we, arthur"
85,100, what are you doing,153,NASH,13, what are you doing
86,101,it's too soon.,153,NASH,13,it's too soon.
87,102, but the dream's collapsing.,153,ARTHUR,13, but the dream's collapsing.
88,103,i'm gonna try to keep saito under a little bit longer.,154,ARTHUR,13,i'm gonna try to keep saito under a little bit longer.
89,104,we're almost there.,154,ARTHUR,13,we're almost there.
90,106,he was close.,162,MAL,13,he was close.
91,107,very close.,162,MAL,13,very close.
92,110,stop him,172,SAITO,17,stop him
93,115,this isn't gonna work.,187,ARTHUR,19,this isn't gonna work.
94,116,wake him up.,187,ARTHUR,19,wake him up.
95,118,he won't wake.,201,NASH,24,he won't wake.
96,119, give him the kick.,206,ARTHUR,24, give him the kick.
97,120,what,206,NASH,24,what
98,121,dunk him.,207,ARTHUR,25,dunk him.
99,125,he's out.,223,COBB,25,he's out.
100,127,"you came prepared, hmm",225,COBB,31,"you came prepared, hmm"
101,128,not even my head of security knows this apartment.,226,SAITO,31,not even my head of security knows this apartment.
102,129,how did you find it,226,SAITO,31,how did you find it
103,130,it's difficult for a man of your position to keep a love nest like this secret...,227,COBB,31,it's difficult for a man of your position to keep a love nest like this secret...
104,131,...particularly where there's a married woman involved.,227,COBB,31,...particularly where there's a married woman involved.
105,132, she would never...,229,SAITO,31, she would never...
106,133, yet here we are.,231,COBB,31, yet here we are.
107,133,with a dilemma.,231,COBB,31,with a dilemma.
108,134, they're getting closer.,231,ARTHUR,31, they're getting closer.
109,135, you got what you came for.,232,SAITO,31, you got what you came for.
110,136,"cobb well, that's not true.",232,COBB,31,"cobb well, that's not true."
111,137,"you left out a key piece of information, didn't you",233,COBB,31,"you left out a key piece of information, didn't you"
112,138,you held something back because you knew what we were up to.,234,COBB,33,you held something back because you knew what we were up to.
113,139," question is, why'd you let us in at all",235,COBB,33," question is, why'd you let us in at all"
114,140, an audition.,235,SAITO,33, an audition.
115,141, an audition for what,238,COBB,33, an audition for what
116,142, doesn't matter.,238,SAITO,33, doesn't matter.
117,143,you failed.,238,SAITO,33,you failed.
118,144,we extracted every bit of information you had in there.,239,COBB,33,we extracted every bit of information you had in there.
119,145,but your deception was obvious.,241,SAITO,33,but your deception was obvious.
120,147,"edith piaf's non, je ne regrette rien playing",256,SAITO,35,"edith piaf's non, je ne regrette rien playing"
121,149, so leave me and go.,259,SAITO,35, so leave me and go.
122,150," you don't seem to understand, mr. saito.",259,COBB,35," you don't seem to understand, mr. saito."
123,151,"that corporation that hired us, they won't accept failure.",262,COBB,35,"that corporation that hired us, they won't accept failure."
124,152,we won't last two days.,263,COBB,35,we won't last two days.
125,153,cobb,265,ARTHUR,35,cobb
126,154,looks like i'm gonna have to do this a little more simply.,266,COBB,35,looks like i'm gonna have to do this a little more simply.
127,155,tell us what you know,270,COBB,35,tell us what you know
128,156,"tell us what you know, now",270,COBB,35,"tell us what you know, now"
129,158,i've always hated this carpet.,272,SAITO,35,i've always hated this carpet.
130,159,it's stained and frayed in such distinctive ways.,274,SAITO,35,it's stained and frayed in such distinctive ways.
131,160,but very definitely made of wool.,275,SAITO,35,but very definitely made of wool.
132,161,right now...,275,SAITO,35,right now...
133,162,...l'm lying on polyester.,275,SAITO,35,...l'm lying on polyester.
134,163,"which means i'm not lying on my carpet, in my apartment.",278,SAITO,37,"which means i'm not lying on my carpet, in my apartment."
135,164,"you have lived up to your reputation, mr. cobb.",280,SAITO,37,"you have lived up to your reputation, mr. cobb."
136,165,i'm still dreaming.,281,SAITO,37,i'm still dreaming.
137,167, how'd it go,285,TODASHI,38, how'd it go
138,168, not good.,285,ARTHUR,38, not good.
139,169,"dream within a dream, huh",288,SAITO,39,"dream within a dream, huh"
140,170,i'm impressed.,288,SAITO,39,i'm impressed.
141,171,"but in my dream, you play by my rules.",290,SAITO,41,"but in my dream, you play by my rules."
142,172,"ah, yes, but you see, mr. saito...",290,NASH,41,"ah, yes, but you see, mr. saito..."
143,173,we're not in your dream.,291,COBB,41,we're not in your dream.
144,174,we're in mine.,292,NASH,41,we're in mine.
145,178,asshole.,299,ARTHUR (O.S.),42,asshole.
146,179,how do you mess up the carpet,299,ARTHUR,42,how do you mess up the carpet
147,180, it wasn't my fault.,301,NASH,42, it wasn't my fault.
148,181, you're the architect.,301,ARTHUR,42, you're the architect.
149,182,i didn't know he was gonna rub his cheek on it,302,NASH,42,i didn't know he was gonna rub his cheek on it
150,183,that's enough.,303,COBB,42,that's enough.
151,184,you.,304,ARTHUR,42,you.
152,185,what the hell was all that,304,ARTHUR,42,what the hell was all that
153,186, i have it under control.,305,COBB,42, i have it under control.
154,187, i'd hate to see you out of control.,305,ARTHUR,42, i'd hate to see you out of control.
155,188,we don't have time for this.,309,COBB,42,we don't have time for this.
156,189,i'm getting off at kyoto.,309,COBB,42,i'm getting off at kyoto.
157,190,he's not gonna check every compartment.,309,ARTHUR,42,he's not gonna check every compartment.
158,191,"yeah, well, i don't like trains.",309,COBB,42,"yeah, well, i don't like trains."
159,192,listen.,309,COBB,42,listen.
160,193,every man for himself.,309,COBB,42,every man for himself.
161,195,"yes, hello",326,COBB,46,"yes, hello"
162,196,"hi, daddy.",327,CHILDREN'S VOICES,46,"hi, daddy."
163,197,"hi, dad.",327,CHILDREN'S VOICES,46,"hi, dad."
164,198,"hey, guys.",328,COBB,46,"hey, guys."
165,199,hey.,328,COBB,46,hey.
166,200,how are you,328,COBB,46,how are you
167,201,"how you doing, huh",328,COBB,46,"how you doing, huh"
168,202,good.,328,CHILDREN'S VOICES,46,good.
169,203,"okay, i guess.",328,CHILDREN'S VOICES,46,"okay, i guess."
170,204,okay,328,COBB,46,okay
171,205,who's just okay,328,COBB,46,who's just okay
172,206,"is that you, james",328,COBB,46,"is that you, james"
173,207,yeah.,329,JAMES,46,yeah.
174,208,"when are you coming home, dad",329,JAMES,46,"when are you coming home, dad"
175,209,"well, i can't, sweetheart.",330,COBB,46,"well, i can't, sweetheart."
176,210,i can't.,330,COBB,46,i can't.
177,211,"not for a while, remember",330,COBB,46,"not for a while, remember"
178,212,why,330,COBB,46,why
179,213,"look, i told you, i'm away because i'm working, right",330,COBB,46,"look, i told you, i'm away because i'm working, right"
180,214,grandma says you're never coming back.,330,LITTLE GIRL,46,grandma says you're never coming back.
181,215,"phillipa, is that you",331,COBB,46,"phillipa, is that you"
182,216,"put grandma on the phone for me, will you",332,COBB,46,"put grandma on the phone for me, will you"
183,217,she's shaking her head.,332,PHILIPPA,46,she's shaking her head.
184,218,"well, just hope she's wrong about that.",332,COBB,46,"well, just hope she's wrong about that."
185,219,daddy,332,JAMES,46,daddy
186,220,"yeah, james",332,COBB,46,"yeah, james"
187,221,is mommy with you,332,JAMES,46,is mommy with you
188,222,"james, we talked about this.",334,COBB,46,"james, we talked about this."
189,223,mommy's not here anymore.,334,COBB,46,mommy's not here anymore.
190,224,where,334,JAMES,46,where
191,225,"that's enough, kids.",334,GRANDMA'S VOICE,46,"that's enough, kids."
192,226,say byebye.,334,GRANDMA'S VOICE,46,say byebye.
193,227,"listen, i'm gonna send some presents with grandpa, all right",334,COBB,46,"listen, i'm gonna send some presents with grandpa, all right"
194,228,"and you be good, you be...",334,COBB,46,"and you be good, you be..."
195,231, our ride's on the roof.,336,ARTHUR,46, our ride's on the roof.
196,233,"hey, are you okay",337,ARTHUR,46,"hey, are you okay"
197,234,yeah.,338,COBB,46,yeah.
198,235,"yeah, i'm fine.",338,COBB,46,"yeah, i'm fine."
199,236,why,338,COBB,46,why
200,237,"well, down in the dream, mal showing up.",338,ARTHUR,46,"well, down in the dream, mal showing up."
201,238,"look, i'm, uh, sorry about your leg.",340,COBB,46,"look, i'm, uh, sorry about your leg."
202,239,won't happen again.,340,COBB,46,won't happen again.
203,240," it's getting worse, isn't it",341,ARTHUR,46," it's getting worse, isn't it"
204,241," one apology's all you're getting, all right",341,COBB,46," one apology's all you're getting, all right"
205,242, where's nash,343,COBB,46, where's nash
206,243, he hasn't shown.,343,ARTHUR,46, he hasn't shown.
207,244,you wanna wait,343,ARTHUR,46,you wanna wait
208,245,we were supposed to deliver saito's expansion plans...,344,COBB,46,we were supposed to deliver saito's expansion plans...
209,246,...to cobol engineering two hours ago.,344,COBB,46,...to cobol engineering two hours ago.
210,247,"by now, they know we failed.",345,COBB,46,"by now, they know we failed."
211,248,it's time we disappear.,345,COBB,46,it's time we disappear.
212,249, where you gonna go,346,ARTHUR,47, where you gonna go
213,250, buenos aires.,346,COBB,47, buenos aires.
214,251,"i can lie low there, maybe sniff out a job when things quiet down.",346,COBB,47,"i can lie low there, maybe sniff out a job when things quiet down."
215,252,you,346,COBB,47,you
216,253,stateside.,346,ARTHUR,47,stateside.
217,254,send my regards.,346,COBB,47,send my regards.
218,255,he sold you out.,349,SAITO,49,he sold you out.
219,256,thought to come to me and bargain for his life.,349,SAITO,49,thought to come to me and bargain for his life.
220,257,so i offer you the satisfaction.,353,SAITO,49,so i offer you the satisfaction.
221,258,it's not the way i deal with things.,356,COBB,49,it's not the way i deal with things.
222,260, what will you do with him,361,COBB,49, what will you do with him
223,261, nothing.,361,SAITO,49, nothing.
224,262,but i can't speak for cobol engineering.,362,SAITO,49,but i can't speak for cobol engineering.
225,263, what do you want from us,366,COBB,49, what do you want from us
226,264, inception.,366,SAITO,49, inception.
227,265, is it possible,368,SAITO,49, is it possible
228,266, of course not.,368,ARTHUR,49, of course not.
229,267,if you can steal an idea from someone's mind...,371,SAITO,49,if you can steal an idea from someone's mind...
230,268,...why can't you plant one there instead,371,SAITO,49,...why can't you plant one there instead
231,269,"okay, here's me planting an idea in your head.",372,ARTHUR,49,"okay, here's me planting an idea in your head."
232,270,"i say, don't think about elephants.",372,ARTHUR,49,"i say, don't think about elephants."
233,271,what are you thinking about,372,ARTHUR,49,what are you thinking about
234,272,elephants.,373,SAITO,49,elephants.
235,273,right.,374,ARTHUR,49,right.
236,274,"but it's not your idea, because you know i gave it to you.",374,ARTHUR,49,"but it's not your idea, because you know i gave it to you."
237,275,the subject's mind can always trace the genesis of the idea.,376,ARTHUR,49,the subject's mind can always trace the genesis of the idea.
238,276, true inspiration's impossible to fake.,377,ARTHUR,49, true inspiration's impossible to fake.
239,277, that's not true.,377,COBB,49, that's not true.
240,278, can you do it,380,COBB,49, can you do it
241,279, are you offering me a choice,380,COBB,49, are you offering me a choice
242,280,because i can find my own way to square things with cobol.,380,COBB,49,because i can find my own way to square things with cobol.
243,281,then you do have a choice.,381,SAITO,49,then you do have a choice.
244,282,"then i choose to leave, sir.",382,COBB,49,"then i choose to leave, sir."
245,283,tell the crew where you want to go.,384,SAITO,50,tell the crew where you want to go.
246,284,"hey, mr. cobb.",386,SAITO,50,"hey, mr. cobb."
247,285,how would you like to go home,388,SAITO,50,how would you like to go home
248,286,to america.,388,SAITO,50,to america.
249,287,to your children.,388,SAITO,50,to your children.
250,288,you can't fix that.,389,COBB,50,you can't fix that.
251,289,no one can.,389,COBB,50,no one can.
252,290, just like inception.,390,SAITO,50, just like inception.
253,291," cobb, come on.",390,ARTHUR,50," cobb, come on."
254,292, how complex is the idea,391,COBB,50, how complex is the idea
255,293, simple enough.,391,SAITO,50, simple enough.
256,294,no idea is simple when you need to plant it in somebody else's mind.,393,COBB,50,no idea is simple when you need to plant it in somebody else's mind.
257,295,my main competitor is an old man in poor health.,394,SAITO,50,my main competitor is an old man in poor health.
258,296,his son will soon inherit control of the corporation.,394,SAITO,50,his son will soon inherit control of the corporation.
259,297,i need him to decide to break up his father's empire.,394,SAITO,50,i need him to decide to break up his father's empire.
260,298," cobb, we should walk away from this.",395,ARTHUR,50," cobb, we should walk away from this."
261,299, hold on.,395,COBB,50, hold on.
262,300,"if i were to do this, if i even could do it...",395,COBB,50,"if i were to do this, if i even could do it..."
263,301,...l'd need a guarantee.,395,COBB,50,...l'd need a guarantee.
264,302, how do i know you can deliver,395,COBB,50, how do i know you can deliver
265,303, you don't.,395,SAITO,50, you don't.
266,304,but i can.,396,SAITO,50,but i can.
267,305,so do you want to take a leap of faith...,396,SAITO,50,so do you want to take a leap of faith...
268,306,"...or become an old man, filled with regret...",396,SAITO,50,"...or become an old man, filled with regret..."
269,307,...waiting to die alone,397,SAITO,50,...waiting to die alone
270,308,"assemble your team, mr. cobb.",398,SAITO,50,"assemble your team, mr. cobb."
271,309,and choose your people more wisely.,398,SAITO,50,and choose your people more wisely.
272,310,"look, i know how much you wanna go home.",401,ARTHUR,51,"look, i know how much you wanna go home."
273,311,this can't be done.,402,ARTHUR,51,this can't be done.
274,312,"yes, it can.",402,COBB,51,"yes, it can."
275,313,just have to go deep enough.,402,COBB,51,just have to go deep enough.
276,314,you don't know that.,402,ARTHUR,51,you don't know that.
277,315,i've done it before.,402,COBB,51,i've done it before.
278,316,who'd you do it to,403,ARTHUR,51,who'd you do it to
279,317,why are we going to paris,406,ARTHUR,51,why are we going to paris
280,318,we're gonna need a new architect.,406,COBB,51,we're gonna need a new architect.
281,320,"you never did like your office, did you",411,COBB (O.S.),53,"you never did like your office, did you"
282,321,no space to think in that broom cupboard.,413,MILES,53,no space to think in that broom cupboard.
283,322,is it safe for you to be here,414,MILES,53,is it safe for you to be here
284,323,extradition between france and the united states...,415,COBB,53,extradition between france and the united states...
285,324,"...is a bureaucratic nightmare, you know that.",415,COBB,53,"...is a bureaucratic nightmare, you know that."
286,325,i think they might find a way to make it work in your case.,416,MILES,53,i think they might find a way to make it work in your case.
287,326,"look, i, uh, brought these for you to give to the kids when you have a chance.",417,COBB,53,"look, i, uh, brought these for you to give to the kids when you have a chance."
288,327,it'll take more than the occasional stuffed animal...,417,MILES,53,it'll take more than the occasional stuffed animal...
289,328,...to convince those children they still have a father.,418,MILES,53,...to convince those children they still have a father.
290,329,i'm just doing what i know.,419,COBB,53,i'm just doing what i know.
291,330,i'm doing what you taught me.,419,COBB,53,i'm doing what you taught me.
292,331,i never taught you to be a thief.,420,MILES,53,i never taught you to be a thief.
293,332,"no, you taught me to navigate people's minds.",421,COBB,53,"no, you taught me to navigate people's minds."
294,333,but after what happened...,421,COBB,53,but after what happened...
295,334,...there weren't a whole lot of legitimate ways for me to use that skill.,421,COBB,53,...there weren't a whole lot of legitimate ways for me to use that skill.
296,335,"what are you doing here, dom",422,MILES,53,"what are you doing here, dom"
297,336,i think i found a way home.,423,COBB,53,i think i found a way home.
298,337,"it's a job for some very, very powerful people.",424,COBB,53,"it's a job for some very, very powerful people."
299,338,people who i believe can fix my charges permanently.,425,COBB,53,people who i believe can fix my charges permanently.
300,339,but i need your help.,427,COBB,53,but i need your help.
301,340,you're here to corrupt one of my brightest and best.,428,MILES,53,you're here to corrupt one of my brightest and best.
302,341,you know what i'm offering.,429,COBB,53,you know what i'm offering.
303,342,let them decide for themselves.,429,COBB,53,let them decide for themselves.
304,343, money.,430,MILES,53, money.
305,344, not just money.,430,COBB,53, not just money.
306,345,you remember.,431,COBB,53,you remember.
307,346,"it's the chance to build cathedrals, entire cities...",431,COBB,53,"it's the chance to build cathedrals, entire cities..."
308,347,...things that never existed...,431,COBB,53,...things that never existed...
309,348,...things that couldn't exist in the real world.,432,COBB,53,...things that couldn't exist in the real world.
310,349,so you want me to let someone else follow you into your fantasy,432,MILES,53,so you want me to let someone else follow you into your fantasy
311,350,they don't actually come into the dream.,433,COBB,53,they don't actually come into the dream.
312,351,they just design the levels and teach them to the dreamers.,433,COBB,53,they just design the levels and teach them to the dreamers.
313,352,that's all.,433,COBB,53,that's all.
314,353,design it yourself.,434,MILES,53,design it yourself.
315,354,mal won't let me.,435,COBB,53,mal won't let me.
316,355,"come back to reality, dom.",436,MILES,53,"come back to reality, dom."
317,356, please.,436,MILES,53, please.
318,357, reality.,436,COBB,53, reality.
319,358,"those kids, your grandchildren...",437,COBB,53,"those kids, your grandchildren..."
320,359,...they're waiting for their father to come back home.,438,COBB,53,...they're waiting for their father to come back home.
321,360,that's their reality.,438,COBB,53,that's their reality.
322,361,"and this job, this last job, that's how i get there.",439,COBB,53,"and this job, this last job, that's how i get there."
323,362,i would not be standing here if i knew any other way.,440,COBB,53,i would not be standing here if i knew any other way.
324,363,i need an architect who's as good as i was.,441,COBB,53,i need an architect who's as good as i was.
325,364,i've got somebody better.,442,MILES,53,i've got somebody better.
326,365,ariadne,442,MILES,54,ariadne
327,366,i'd like you to meet mr. cobb.,443,MILES,54,i'd like you to meet mr. cobb.
328,367,pleased to meet you.,443,ARIADNE,54,pleased to meet you.
329,368,"if you have a few moments, mr. cobb has a job offer he'd like to discuss with you.",443,MILES,54,"if you have a few moments, mr. cobb has a job offer he'd like to discuss with you."
330,369,a work placement,443,ARIADNE,54,a work placement
331,370,not exactly.,444,COBB,54,not exactly.
332,371,i have a test for you.,445,COBB,55,i have a test for you.
333,372,you're not gonna tell me anything first,446,ARIADNE,55,you're not gonna tell me anything first
334,373,"before i describe the job, i have to know you can do it.",447,COBB,55,"before i describe the job, i have to know you can do it."
335,374, why,449,ARIADNE,55, why
336,375," it's not, strictly speaking, legal.",449,COBB,55," it's not, strictly speaking, legal."
337,376,you have two minutes to design a maze that it takes one minute to solve.,452,COBB,55,you have two minutes to design a maze that it takes one minute to solve.
338,377,stop.,453,COBB,55,stop.
339,378,again.,455,COBB,55,again.
340,379,stop.,456,COBB,55,stop.
341,380,you're gonna have to do better than that.,458,COBB,55,you're gonna have to do better than that.
342,381,that's more like it.,469,COBB,55,that's more like it.
343,382,they say we only use a fraction of our brain's true potential.,474,COBB,59,they say we only use a fraction of our brain's true potential.
344,383,"now, that's when we're awake.",475,COBB,59,"now, that's when we're awake."
345,384,"when we're asleep, our mind can do almost anything.",477,COBB,59,"when we're asleep, our mind can do almost anything."
346,385,such as,477,ARIADNE,59,such as
347,386,imagine you're designing a building.,478,COBB,59,imagine you're designing a building.
348,387,you consciously create each aspect.,478,COBB,59,you consciously create each aspect.
349,388,"but sometimes, it feels like it's almost creating itself, if you know what i mean.",479,COBB,59,"but sometimes, it feels like it's almost creating itself, if you know what i mean."
350,389,"yeah, like i'm discovering it.",479,ARIADNE,59,"yeah, like i'm discovering it."
351,390,"genuine inspiration, right",480,COBB,59,"genuine inspiration, right"
352,391,"now, in a dream, our mind continuously does this.",480,COBB,59,"now, in a dream, our mind continuously does this."
353,392,we create and perceive our world simultaneously.,480,COBB,59,we create and perceive our world simultaneously.
354,393,and our mind does this so well that we don't even know it's happening.,482,COBB,59,and our mind does this so well that we don't even know it's happening.
355,394,that allows us to get right in the middle of that process.,482,COBB,59,that allows us to get right in the middle of that process.
356,395, how,485,ARIADNE,59, how
357,396, by taking over the creating part.,485,COBB,59, by taking over the creating part.
358,397,"now, this is where i need you.",485,COBB,59,"now, this is where i need you."
359,398,you create the world of the dream.,486,COBB,59,you create the world of the dream.
360,399,"we bring the subject into that dream, and they fill it with their subconscious.",487,COBB,59,"we bring the subject into that dream, and they fill it with their subconscious."
361,400,how could i ever acquire enough detail to make them think that it's reality,488,ARIADNE,59,how could i ever acquire enough detail to make them think that it's reality
362,401,"well, dreams, they feel real while we're in them, right",489,COBB,59,"well, dreams, they feel real while we're in them, right"
363,402,it's only when we wake up that we realize something was actually strange.,489,COBB,59,it's only when we wake up that we realize something was actually strange.
364,403,let me ask you a question.,490,COBB,59,let me ask you a question.
365,404,"you never really remember the beginning of a dream, do you",490,COBB,59,"you never really remember the beginning of a dream, do you"
366,405,you always wind up right in the middle of what's going on.,492,COBB,59,you always wind up right in the middle of what's going on.
367,406,"i guess, yeah.",492,ARIADNE,59,"i guess, yeah."
368,407,so how did we end up here,493,COBB,59,so how did we end up here
369,408,"well, we just came from the, uh...",494,ARIADNE,59,"well, we just came from the, uh..."
370,409,"think about it, ariadne.",495,COBB,59,"think about it, ariadne."
371,410,how did you get here,495,COBB,59,how did you get here
372,411,where are you right now,496,COBB,59,where are you right now
373,412,we're dreaming,498,ARIADNE,59,we're dreaming
374,413,"you're in the middle of the workshop, sleeping.",499,ARIADNE,59,"you're in the middle of the workshop, sleeping."
375,414,this is your first lesson in shared dreaming.,500,ARIADNE,59,this is your first lesson in shared dreaming.
376,415,stay calm.,500,COBB,59,stay calm.
377,418,"if it's just a dream, then why are you...",519,ARIADNE,59,"if it's just a dream, then why are you..."
378,420,"cobb because it's never just a dream, is it",520,COBB (O.S.),60,"cobb because it's never just a dream, is it"
379,421,and a face full of glass hurts like hell.,521,COBB,60,and a face full of glass hurts like hell.
380,422,"when you're in it, it feels real.",521,COBB,60,"when you're in it, it feels real."
381,423,arthur that's why the military developed dream sharing.,522,ARTHUR,60,arthur that's why the military developed dream sharing.
382,424,"it was a training program for soldiers to shoot, stab and strangle each other...",523,ARTHUR,60,"it was a training program for soldiers to shoot, stab and strangle each other..."
383,425,...and then wake up.,523,ARTHUR,60,...and then wake up.
384,426,how did architects become involved,523,ARIADNE,60,how did architects become involved
385,427,"well, someone had to design the dreams, right",523,COBB,60,"well, someone had to design the dreams, right"
386,428,why don't you give us another five minutes,523,COBB,60,why don't you give us another five minutes
387,429,five minutes,524,ARIADNE,60,five minutes
388,430,what...,524,ARIADNE,60,what...
389,431,"we were talking for, like, at least an hour.",524,ARIADNE,60,"we were talking for, like, at least an hour."
390,432,"in a dream, your mind functions more quickly...",525,COBB,60,"in a dream, your mind functions more quickly..."
391,433,...therefore time seems to feel more slow.,525,COBB,60,...therefore time seems to feel more slow.
392,434,five minutes in the real world gives you an hour in the dream.,526,ARTHUR,60,five minutes in the real world gives you an hour in the dream.
393,435,why don't you see what you can get up to in five minutes,528,COBB,60,why don't you see what you can get up to in five minutes
394,437,you've got the basic layout.,532,COBB,61,you've got the basic layout.
395,438,"bookstore, caf.",532,COBB,61,"bookstore, caf."
