0,1,2,3,4
67,the ability to make money doesn't impress anybody around here.,29,MARK,1
68,must be nice.,30,ERICA,1
69,"he made 300,000 in a summer",30,ERICA,1
70, he likes meteorology.,31,MARK,1
71, you said it was oil futures.,31,ERICA,1
72,"you can read the weather, you can predict the price of heating oil.",32,MARK,1
73,i think you asked me that,32,MARK,1
74,because you think the final club that's easiest to get into,32,MARK,1
75,is the one where i'll have the best chance.,32,MARK,1
76,i... what,33,ERICA,1
77,you asked me which one was the easiest to get into,34,MARK,1
78,because you think that that's the one where i'll have the best chance.,34,MARK,1
79,the one that's the easiest to get into would be the one,35,ERICA,1
80,where anybody has the best chance.,35,ERICA,1
81,"you didn't ask me which one was the best one,",36,MARK,1
82,you asked me which one was the easiest one.,36,MARK,1
83,"i was honestly just asking, okay",36,ERICA,1
84,i was just asking to ask.,36,ERICA,1
85," mark, i'm not speaking in code.",36,ERICA,1
86, erica.,36,MARK,1
87,you're obsessed with finals clubs.,37,ERICA,1
88,you have finals clubs ocd and you need to see someone about it,38,ERICA,1
89,who will prescribe you some sort of medication.,38,ERICA,1
90,you don't care if the side effects may include blindness.,39,ERICA,1
91,final clubs.,40,MARK,1
92,not finals clubs.,40,MARK,1
93,and there's a difference between being obsessed and being motivated.,40,MARK,1
94,yes.,41,ERICA,1
95,there is.,41,ERICA,1
96,"well, you do.",41,MARK,1
97,"that was cryptic, so you do speak in code.",41,MARK,1
98,i didn't mean to be cryptic.,42,ERICA,1
99,i'm just saying i need to do something substantial,42,MARK,1
100,in order to get the attention of the clubs.,42,MARK,1
101, why,43,ERICA,1
102, because they're exclusive.,43,MARK,1
103,"and fun, and they lead to a better life.",44,MARK,1
104,teddy roosevelt didn't get elected president,45,ERICA,1
105,because he was a member of the phoenix club.,45,ERICA,1
106,"he was a member of the porcellian, and yes, he did.",46,MARK,1
107,"well, why don't you just concentrate on being the best you you can be",47,ERICA,1
108,did you really just say that,48,MARK,1
109,i was kidding.,49,ERICA,1
110,just because something's trite doesn't make it less true.,49,ERICA,1
111,i wanna try to be straightforward with you,49,MARK,1
112,and tell you i think you might want to be a little more supportive.,50,MARK,1
113,"if i get in, i will be taking you to the events and the gatherings,",51,MARK,1
114,and you'll be meeting a lot of people you wouldn't normally get to meet.,52,MARK,1
115,you would do that for me,53,ERICA,1
116,we're dating.,54,MARK,1
117,okay.,55,ERICA,1
118,"well, i wanna try and be straightforward with you",55,ERICA,1
119,and let you know that we're not anymore.,55,ERICA,1
120, what do you mean,57,MARK,1
121, we're not dating anymore.,57,ERICA,1
122,i'm sorry.,57,ERICA,1
123, is this a joke,59,MARK,1
124," no, it's not.",59,ERICA,1
125,you're breaking up with me,59,MARK,1
126,you're gonna introduce me to people,60,ERICA,1
127,i wouldn't normally have the chance to meet,60,ERICA,1
128,what the... what is that supposed to mean,61,ERICA,1
129," wait, settle down.",62,MARK,1
130, what is it supposed to mean,62,ERICA,1
131,"erica, the reason we're able to sit here and drink right now",63,MARK,1
132,is 'cause you used to sleep with the door guy.,63,MARK,1
133,the door guy,64,ERICA,1
134,his name is bobby.,64,ERICA,1
135,i have not slept with the door guy.,64,ERICA,1
136,"the door guy is a friend of mine, and he's a perfectly good class of people.",64,ERICA,1
137,"and what part of long island are you from, wimbledon",66,ERICA,1
138, wait.,67,MARK,1
139,"wait, wait.",67,MARK,1
140, i'm going back to my dorm.,67,ERICA,1
141, is this real,68,MARK,1
142, yes.,68,ERICA,1
143," then wait, i apologize, okay",68,MARK,1
144, i have to go study.,68,ERICA,1
145, erica,69,MARK,1
146, yes,69,ERICA,1
147," i'm sorry, i mean it.",69,MARK,1
148," i appreciate that, but i have to go study.",69,ERICA,1
149,"come on, you don't have to study.",70,MARK,1
150,let's just talk.,70,MARK,1
151, i can't.,71,ERICA,1
152, why,71,MARK,1
153,because it is exhausting.,71,ERICA,1
154,dating you is like dating a stairmaster.,71,ERICA,1
155,all i meant is that you're not likely to...,71,MARK,1
156,currently...,71,MARK,1
157,i wasn't making a comment on your appearance.,71,MARK,1
158,i was saying that you go to bu.,71,MARK,1
159,"i was stating a fact, that's all,",71,MARK,1
160,"and if it seemed rude, then i apologize.",71,MARK,1
161, i have to go study.,72,ERICA,1
162, you don't have to study.,72,MARK,1
163,why do you keep saying i don't have to study,73,ERICA,1
164,'cause you go to bu.,73,MARK,1
165,do you want to get some food,75,MARK (CONTÂ||D),1
166,i am sorry you are not sufficiently impressed with my education.,76,ERICA,1
167,"and i'm sorry i don't have a rowboat, so we're even.",77,MARK,1
168, i think we should just be friends.,78,ERICA,1
169, i don't want friends.,78,MARK,1
170,i was just being polite.,80,ERICA,1
171,i have no intention of being friends with you.,80,ERICA,1
172,i'm under some pressure right now from my os class,81,MARK,1
173,"and if we could just order some food, i think we should...",82,MARK,1
174,"okay, you are probably going to be a very successful computer person.",83,ERICA,1
175,but you're gonna go through life thinking that girls don't like you,83,ERICA,1
176,because you're a nerd.,84,ERICA,1
177,and i want you to know from the bottom of my heart that that won't be true.,85,ERICA,1
178,it'll be because you're an asshole.,87,ERICA,1
179,erica albright's a bitch.,105,MARK (V.O.),5
180,"do you think that's because her family changed their name from albrecht,",105,MARK (V.O.),5
181,or do you think it's because all bu girls are bitches,106,MARK (V.O.),5
182,"for the record, she may look like a 34c,",107,MARK (V.O.) (CONTÂ||D),5
183,but she's getting all kinds of help from our friends at victoria's secret.,108,MARK (V.O.) (CONTÂ||D),5
184,"she's a 34b, as in barely anything there.",110,MARK (V.O.) (CONTÂ||D),5
185,false advertising.,110,MARK (V.O.) (CONTÂ||D),5
186,"the truth is, she has a nice face.",111,MARK (V.O.),6
187,i need to do something to take my mind off her.,111,MARK (V.O.),6
188,"easy enough, except i need an idea.",113,MARK (V.O.),6
189,"i'm a little intoxicated, i'm not gonna lie.",116,MARK (V.O.) (CONTÂ||D),6
190,so what if it's not even 1000 p.m. and it's a tuesday night,116,MARK (V.O.) (CONTÂ||D),6
191,billy.,116,MARK (V.O.) (CONTÂ||D),6
192,"the kirkland facebook is open on my desktop,",116,MARK (V.O.) (CONTÂ||D),6
193,and some of these people have pretty horrendous facebook pics.,116,MARK (V.O.) (CONTÂ||D),6
194,billy olson's sitting here and had the idea of putting some of the pictures,118,MARK (V.O.) (CONTÂ||D),6
195,next to pictures of farm animals and have people vote on who's hotter.,118,MARK (V.O.) (CONTÂ||D),6
196,"good call, mr. olson.",118,MARK (V.O.),7
197,"yeah, it's on.",119,MARK,8
198,"i'm not gonna do the farm animals,",119,MARK,8
199,but i like the idea of comparing two people together.,119,MARK,8
200,it gives the whole thing a very turing feel,120,MARK,8
201,since people's ratings of the pictures will be more implicit,120,MARK,8
202,"than, say, choosing a number to represent each person's hotness,",121,MARK (VO),9
203,like they do on hotornot.com,122,MARK (VO),9
205,the first thing we're going to need is a lot of pictures.,123,MARK (VO),9
206,"unfortunately, harvard doesn't keep a public centralized facebook,",124,MARK (VO),9
207,so i'm going to have to get all the images,124,MARK (VO),9
208,from the individual houses that people are in.,125,MARK (VO),9
209,let the hacking begin.,126,MARK (VO),9
210,first up is kirkland.,133,MARK (V.O.),10
211,they keep everything open and allow indexes in their apache configuration.,134,MARK (V.O.),10
212,so a little wget magic is all that's necessary to download the entire kirkland facebook.,136,MARK (V.O.),10
213,kids' stuff.,139,MARK (V.O.),10
214,next is eliot.,149,MARK (V.O.),12
215,"they're also open, but with no indexes on apache.",150,MARK (V.O.),12
216,i can run an empty search,151,MARK (V.O.),12
217,and it returns all of the images in the database in a single page.,152,MARK (V.O.),12
218,and i can save the page and mozilla will save all the images for me.,153,MARK (V.O.),12
219,excellent.,155,MARK (V.O.),12
220,moving right along.,155,MARK (V.O.),12
221,excuse me,157,MARK (V.O.),12
222,everybody,157,MARK (V.O.),12
223,"you are at one of the oldest, one of the most exclusive clubs,",158,MARK (V.O.),12
224,"not just at harvard, but in the world.",158,MARK (V.O),14
225,and i want to welcome you all,158,MARK (V.O),14
226,to phoenix club's first party of the fall semester,159,MARK (V.O),14
227,lowell has some security.,165,MARK (V.O),14
228,"they require a user namepassword combo,",165,MARK (V.O),14
229,"and i'm gonna go ahead and say they don't have access to the main fas user database,",170,MARK (V.O),14
230,so they have no way of detecting an intrusion.,170,MARK (V.O),14
231,"adams has no security, but limits the number of results to 20 a page.",172,MARK (V.O.) (CONTÂ||D),15
232,all i need to do is break out the same script i used on lowell and we're set.,176,MARK (V.O.) (CONTÂ||D),15
233,quincy has no online facebook.,180,MARK (V.O.) (CONTÂ||D),15
234,what a sham.,180,MARK (V.O.) (CONTÂ||D),15
235,nothing i can do about that.,182,MARK (V.O.) (CONTÂ||D),15
236,dunster is intense.,183,MARK (V.O.),15
237,"not only is there no public directory, but there's no directory at all.",186,MARK (V.O.),15
238,"you have to do searches,",187,MARK (V.O.),15
239,"and if your search returns more than 20 matches, nothing gets returned.",189,MARK (V.O.),15
240,"and once you do get results, they don't link directly to the images.",190,MARK (V.O.),15
241,they link to a php that redirects or something.,191,MARK (V.O.),15
242,weird.,191,MARK (V.O.),15
243,this may be difficult.,194,MARK (V.O.) (CONTÂ||D),15
244,i'll come back later.,194,MARK (V.O.) (CONTÂ||D),15
245," hey, shark week's on.",195,MARK (V.O.) (CONTÂ||D),15
246, what,195,MARK (V.O.) (CONTÂ||D),15
247," great white, beautiful fish.",196,MARK (V.O.) (CONTÂ||D),15
248, nice.,196,MARK (V.O.) (CONTÂ||D),15
249,leverett is a little better.,197,MARK (V.O.) (CONTÂ||D),15
250,"they still make you search,",197,MARK (V.O.) (CONTÂ||D),15
251,but you can do an empty search and get links to pages with every student's picture.,198,MARK (V.O.) (CONTÂ||D),15
252,"it's slightly obnoxious that they only let you view one picture at a time,",201,MARK (V.O.) (CONTÂ||D),15
253,and there's no way i'm going to go to 500 pages to download pics one at a time.,206,MARK (V.O.) (CONTÂ||D),15
254,so it's definitely necessary to break out emacs and modify that perl script.,207,MARK (V.O.) (CONTÂ||D),15
255,here you go.,211,MARK (V.O.) (CONTÂ||D),15
256,done.,213,2:08 AM MARK (V.O.),16
257,"hey, what's going on",214,EDUARDO,17
258,perfect timing.,214,MARK (V.O.),17
259,eduardo's here and he's going to have the key ingredient.,214,MARK (V.O.),17
260," hey, mark.",214,EDUARDO,17
261, wardo.,214,MARK,17
262,you and erica split up.,215,EDUARDO,17
263,how did you know that,215,MARK,17
264,it's on your blog.,216,EDUARDO,17
265, yeah.,217,MARK,17
266, are you all right,217,EDUARDO,17
267, i need you.,218,MARK,17
268, i'm here for you.,218,EDUARDO,17
269,"no, i need the algorithm you use to rank chess players.",219,MARK,17
270, are you okay,221,EDUARDO,17
271, we're ranking girls.,221,MARK,17
272, you mean other students.,224,EDUARDO,17
273, yeah.,224,MARK,17
274,you think this is such a good idea,225,EDUARDO,17
275, i need the algorithm.,225,MARK,17
276, mark...,225,EDUARDO,17
277,i need the algorithm.,226,MARK,17
278,give each girl a base rating of 1400.,228,EDUARDO,18
279,at any given time girl a has a rating ra and girl b has a rating rb.,228,EDUARDO,18
280,"when any two girls are matched up, there's an expectation of which will win",228,MARK,18
281,"based on their current rating, right",228,MARK,18
282,yeah.,228,EDUARDO,18
283,and those expectations are expressed this way.,228,EDUARDO,18
284,let's write it.,228,MARK,18
285,one on the left.,234,ALL,20
286,the right.,236,ALL (CONTÂ||D),20
287,"yeah, still the right.",236,ALL (CONTÂ||D),20
288, it works.,238,EDUARDO,20
289, who should we send it to first,238,DUSTIN,20
290, dwyer.,238,EDUARDO,20
291, neal.,238,CHRIS,20
292, who are you gonna send it to,238,EDUARDO,20
293, just a couple of people.,238,MARK,20
294,"the question is,",239,MARK,20
295,who are they gonna send it to,240,MARK,20
296,"hey, guys, check this out.",252,PLAYER,21
297,someone go to the left.,254,STUDENT,22
298,"dude, do left.",254,STUDENT,22
299,look at these girls.,255,STUDENT,22
300,right or left,255,STUDENT,22
301, left is hot.,256,STUDENT,22
302, left,256,STUDENT,22
303,"yeah, yeah, yeah, yeah.",256,ALL,23
304,right or left,258,ALL,24
305,that's my roommate.,259,FEMALE STUDENT,25
306," oh, my god.",260,FEMALE STUDENT,25
307, the girl on the left.,260,FEMALE STUDENT,26
308,this is pathetic.,261,FEMALE STUDENT,26
309,right.,262,FEMALE STUDENT,26
310,left.,263,ALL,27
311, left.,263,ALL,27
312, left,263,ALL,27
313,"oh, shit.",265,GIRL (ERICAÂ||S ROOMMATE),31
314,albright.,265,GIRL (ERICAÂ||S ROOMMATE),31
315,he blogged about you.,267,ROOMMATE,31
316,you don't wanna read it.,268,ROOMMATE (CONTÂ||D),31
317,left.,270,STUDENT,31
318,latina.,270,STUDENT,31
319,erica.,271,COLLEGE GUY,31
320,is this yours,272,COLLEGE GUY (CONTÂ||D),31
321,i stole it from a tranny.,274,COLLEGE GUY (CONTÂ||D),31
322,get the hell out of here,275,ERICAÂ||S ROOMMATE,31
323, left.,276,STUDENTS,32
324, one on the right.,276,STUDENTS,33
325,left.,277,STUDENTS,34
326,"man, that's an awful lot of traffic.",279,EDUARDO,36
327,you think maybe we shouldn't shut it down before we get into trouble,281,EDUARDO,36
328,hello,283,COX,37
329,"wait, wait, wait, wait.",283,COX,37
330,what,283,COX,37
331,at 400 in the morning,283,COX,37
332,"well, there's a very unusual amount of traffic to the switch at kirkland.",284,GRAD STUDENT,38
333,you're saying it's unusual for 400 in the morning,285,COX,38
334,"no, this'd be unusual for halftime at the super bowl.",286,GRAD STUDENT,38
335,all right.,287,COX,38
336,i gotta go in.,287,COX (CONTÂ||D),38
337,what's going on,287,COXÂ||S WIFE,38
338,harvard's network is about to crash.,287,COX,38
339,you don't think...,291,EDUARDO,39
340,i do.,292,MARK,39
341,go see if it's everybody's.,294,EDUARDO,39
342,i can't connect.,297,CHRIS,39
343,the network's down.,299,DUSTIN,39
344,"unless it's a coincidence, i think this is us.",300,EDUARDO,39
345,it's not a coincidence.,301,MARK,39
346,holy shit.,301,EDUARDO,39
347,so you were called in front of the ad board.,303,GRETCHEN,40
348,that's not what happened.,304,MARK,40
349,you weren't called in front of the administrative board,305,GRETCHEN,40
350,"no, back.",305,MARK,40
351,i mean back at the bar with erica albright.,305,MARK,40
352,she said all that,305,MARK,40
353, mark...  that i said that stuff to her,305,MARK,40
354,i was reading from the transcript of her deposition.,306,GRETCHEN,40
355,"yeah, why would you even need to depose her",307,MARK,40
356,that's really for us to decide.,308,GRETCHEN,40
357,"you think if i know she can make me look like a jerk, i'll be more likely to settle.",309,MARK,40
358,why don't we stretch our legs for a minute,309,SY,40
359,can we do that,310,SY,40
360,it's been almost three hours.,310,SY,40
361,"and frankly, you did spend an awful lot of time embarrassing mr. zuckerberg",311,SY,40
362,with the girl's testimony from the bar.,312,SY,40
363,"i'm not embarrassed, she just made a lot of that up.",313,MARK,40
364,she was under oath.,314,GRETCHEN,40
365,then i guess that would be the first time somebody's lied under oath.,315,MARK,40
366,"the site got 2,200 hits within two hours",321,MARYLIN,40
367,thousand.,322,MARK,40
368,what,323,MARYLIN,40
369,twentytwo thousand.,324,MARK,40
370,wow.,326,MARYLIN,40
371,these guys are just freaking fast.,329,A CREW MEMBER,41
372,is there any way to make this a fair fight,331,CAMERON,41
373,jump out and swim.,331,TYLER,41
374,i think we'd have to jump out and drown.,331,CAMERON,41
375,"well, you could row forward and i could row backward.",331,TYLER,41
376,we're genetically identical.,331,CAMERON,41
377,science says we'd stay in one place.,331,CAMERON,41
378,just row the damn boat.,331,TYLER,41
379, you guys hear about this,333,DIVYA,42
380, what,333,CAMERON,42
381,"two nights ago, a sophomore choked the network from a laptop at kirkland.",333,DIVYA,42
382, really,334,CAMERON,42
383, at 400 a.m.,334,DIVYA,42
384,how,335,CAMERON,42
385,he set up a website where you vote on the hotness of female undergrads.,336,DIVYA,42
386,what were we doing that none of us heard about this,336,DIVYA,42
387,i don't know.,336,DIVYA,42
388,a threehour lowrate technical row before breakfast.,337,CAMERON,42
389,full course load.,337,CAMERON,42
390,studying.,337,CAMERON,42
391,another three hours in the tank and then studying.,338,CAMERON,42
392,i'm not sure how we missed it.,339,CAMERON,42
393,how much activity was there on this thing,340,CAMERON,42
394,twentytwo thousand page requests.,341,TYLER,42
395,twentytwo thousand,343,CAMERON,42
396,"cam, this guy hacked the facebook of seven houses.",344,TYLER,42
397,"he set up the whole website in one night, and he did it while he was drunk.",344,TYLER,42
398,twentytwo thousand,344,CAMERON,42
399," well, how do you know he was drunk",345,CAMERON,42
400, he was blogging simultaneously.,345,DIVYA,42
401, you know what i think,348,DIVYA,42
402, way ahead of you.,348,TYLER,42
403,this is our guy.,348,DIVYA,42
404,cameron winklevoss.,349,CAMERON,43
405,wlnklevoss.,351,CAMERON,43
406,cameron spelled the usual way.,352,CAMERON,43
407,tyler winklevoss.,352,TYLER,43
408,"tyler spelled the usual way, and my last name is the same as my brother's.",353,TYLER,43
409,"mr. zuckerberg, this is an administrative board hearing.",354,ADMINISTRATOR,44
410,"you're being accused of intentionally breaching security,",354,ADMINISTRATOR,44
411,"violating copyrights,",355,ADMINISTRATOR,44
412,violating individual privacy by creating the website www.facemash.com.,355,ADMINISTRATOR,44
413,"you're also charged with being in violation of university policy,",356,ADMINISTRATOR,44
414,on distribution of digitized images.,356,ADMINISTRATOR,44
415,"before we begin with our questioning, you're allowed to make a statement.",357,ADMINISTRATOR,44
416,would you like to do so,357,ADMINISTRATOR,44
417,i...,358,MARK,44
418,"you know, i've already apologized in the crimson to the abhw,",359,MARK,44
419,"to fuerza latina,",360,MARK,44
420,"and to any women at harvard who may have been insulted,",360,MARK (CONTÂ||D),44
421,as i take it that they were.,360,MARK (CONTÂ||D),44
422,"as for any charges stemming from the breach of security,",360,MARK (CONTÂ||D),44
423,i believe i deserve some recognition from this board.,360,MARK (CONTÂ||D),44
424, i'm sorry,365,ADMINISTRATOR,44
425, yes.,365,MARK,44
426,i don't understand.,366,ADMINISTRATOR,44
427,which part,367,MARK,44
428,you deserve recognition,368,ADMINISTRATOR,44
429,i believe i've pointed out some pretty gaping holes in your system.,369,MARK,44
430," excuse me, may i",370,COX,44
431, yes.,370,ADMINISTRATOR,44
432,"mr. zuckerberg,",370,COX,44
433,"i'm in charge of security for all computers on the harvard network,",370,COX,44
434,and i can assure you of its sophistication.,371,COX,44
435,"in fact, it was that level of sophistication that led us to you in less than four hours.",372,COX,44
436, four hours,373,MARK,44
437," yes, sir.",373,COX,44
438,"that would be impressive,",374,MARK,44
439,"except if you had known what you were looking for,",375,MARK,44
440,you would have seen it written on my dorm room window.,375,MARK,44
441,so,377,EDUARDO,45
442,six months academic probation.,377,MARK,45
443,wow.,377,EDUARDO,46
444,"well, they had to make an example out of you.",377,EDUARDO,46
445,they had my blog.,377,MARK,46
446,i shouldn't have written that thing about the farm animals.,377,MARK,46
447,that was stupid.,377,MARK,46
448,"but i was kidding, for god's sakes.",377,MARK,46
449,doesn't anybody have a sense of humor,377,MARK,46
450, i tried to stop you.,377,EDUARDO,46
451, i know.,377,MARK,46
452,how do you do this thing where you manage to get all girls to hate us,377,EDUARDO,46
453, and why do i let you,377,EDUARDO,46
454, i know.,377,MARK,46
455, you can't do that.,377,EDUARDO,46
456," wardo, i said i know.",377,MARK,46
457,"okay, let's look at a sample problem.",378,PROFESSOR,47
458,suppose we're given a computer with a 16bit virtual address,379,PROFESSOR,47
459,and a page size of 256 bytes.,380,PROFESSOR,47
460,the system uses onelevel page tables that start at address hex 400.,381,PROFESSOR (CONTÂ||D),47
461,maybe you want dma on your 16bit system.,383,PROFESSOR (CONTÂ||D),47
462,who knows,383,PROFESSOR (CONTÂ||D),47
463,"the first few pages are reserved for hardware flags, etc.",385,PROFESSOR (CONTÂ||D),47
464,assume pagetable entries have eight status bits.,386,PROFESSOR (CONTÂ||D),47
465,the eight status bits would then be...,387,PROFESSOR (CONTÂ||D),47
466,anybody,387,PROFESSOR (CONTÂ||D),47
467,and i see we have our first surrender.,388,PROFESSOR (CONTÂ||D),47
468,"don't worry, mr. zuckerberg.",389,PROFESSOR (CONTÂ||D),47
469,brighter men than you have tried and failed this class.,390,PROFESSOR (CONTÂ||D),47
470,"one valid bit, one modified bit, one reference bit and five permission bits.",390,MARK,47
471,that is correct.,391,PROFESSOR,47
472,does everybody see how he got there,392,PROFESSOR,47
473,mark,395,CAMERON (OS),48
474, you mark zuckerberg,396,CAMERON (CONTÂ||D),48
475, yeah.,396,MARK,48
476, cameron winklevoss.,396,CAMERON,48
477, hi.,396,MARK,48
478,tyler winklevoss.,396,TYLER,48
479,are you guys related,397,MARK,48
480, that's good.,398,CAMERON,48
481, funny.,398,TYLER,48
482,we never heard that before.,398,CAMERON,48
483,"so, what can i do for you",399,MARK,48
484,did i insult your girlfriends,399,MARK,48
485,no.,400,CAMERON,48
486,you didn't.,400,CAMERON,48
487,"actually, i don't know.",400,CAMERON,48
488," yeah, we never asked.",401,TYLER,48
489, we should do that.,401,CAMERON,48
490,no.,401,CAMERON,48
491,we have an idea we want to talk to you about.,402,CAMERON,48
492,you got a minute,402,CAMERON,48
493,you guys look like you spend some time at the gym.,403,MARK,48
494, we have to.,404,CAMERON,48
495, why,404,MARK,48
496,we row crew.,404,TYLER,48
497," yeah, i've got a minute.",405,MARK,48
498, great.,405,CAMERON,48
499," so, you ever been inside the porcellian",407,TYLER,49
500, no.,407,MARK,49
501,"you understand we can't take you past the bike room,",407,TYLER,49
502,because you're not a member.,407,TYLER,49
503,i've heard.,407,MARK,49
504, you want a sandwich or something,409,CAMERON,50
505, okay.,409,MARK,50
506," mark, right",411,DIVYA,50
507, yeah.,411,MARK,50
508," mark, this is divya narendra, our partner.",411,TYLER,50
509, hi.,411,MARK,50
510,we were really impressed with facemash.,412,DIVYA,50
511,"when we checked you out, you also built coursematch.",413,DIVYA,50
512,i don't know coursematch.,414,TYLER,50
513,you go online and see what courses your friends are taking.,415,DIVYA,50
514,"it's really smart, man.",416,DIVYA,50
515, mark.,417,DIVYA (CONTÂ||D),50
516, yeah.,417,MARK,50
517,we were talking about coursematch.,417,DIVYA,50
518,it was kind of a nobrainer.,418,MARK,50
519,"but you invented something in high school, too, right",419,DIVYA,50
520,an app for an mp3 player that recognizes your taste in music.,420,MARK,50
521,anybody try to buy it,422,DIVYA,50
522,microsoft.,423,MARK,50
523,wow.,424,DIVYA,50
524,how much,424,DIVYA,50
525,didn't sell it.,425,MARK,50
526,uploaded it for free.,425,MARK,50
527, for free,427,DIVYA,50
528, yeah.,427,MARK,50
529,why,428,DIVYA,50
530,"okay, well, we have something that we've been working on for a while",430,CAMERON,50
531,and we think it's great.,431,CAMERON,50
532,it's called the harvard connection.,432,CAMERON,50
533,you create your own page.,432,CAMERON,50
534,"interests, bio, friends, pics.",432,CAMERON,50
535,"and then people can go online, see your bio, request to be your...",432,TYLER,50
536,"yeah, how is that different from myspace or friendster",433,MARK,50
537,harvard.edu,435,TYLER,50
539,harvard.,437,CAMERON,50
540,"edu is the most prestigious email address in the country, man.",437,CAMERON,50
541,"i mean, the whole site's kind of based on the idea that girls...",438,TYLER,50
542,"not to put anything indelicately, but...",440,CAMERON,50
543,girls wanna go with guys who go to harvard.,440,DIVYA,50
544,divya and my brother don't have trouble putting things indelicately.,442,CAMERON,50
545,"the main difference between what we're talking about and myspace or friendster,",443,TYLER,50
546,or any of those other social networking sites is...,444,TYLER,50
547,is exclusivity.,444,MARK,50
548,right,444,MARK,50
549, right.,445,DIVYA,50
550, yeah.,445,TYLER,50
551,"we'd love for you to work with us, mark.",446,CAMERON,50
552,"i mean, we need a gifted programmer who's creative.",447,CAMERON,50
553,and we know that you've been taking it in the shins.,448,TYLER,50
554,women's groups are ready to declare a fatwa.,449,DIVYA,50
555,"but, you know, this could help rehabilitate your image.",450,DIVYA,50
556,wow.,451,MARK,50
557,you would do that for me,451,MARK,50
558,we'd like to work with you.,453,DIVYA,50
559,our first programmer graduated and went to work for google.,455,CAMERON,50
560,our second programmer just got overwhelmed with schoolwork.,456,CAMERON,50
561,"we would need you to build the site and write the code, and we'll provide all the...",457,CAMERON,50
562,i'm in.,458,MARK,50
563,what,459,CAMERON,50
564,i'm in.,460,MARK,50
565,awesome.,461,TYLER,50
566,that's what you said,462,GAGE,51
567,it was three or four years ago.,463,MARK,51
568,i don't know what i said.,463,MARK,51
569,when did you come to eduardo,465,GRETCHEN,52
570,i don't understand that question.,466,MARK,52
571,do you remember answering in the affirmative,467,GAGE,53
572,the affirmative,468,MARK,53
573,when did you come to eduardo with the idea for facebook,469,GRETCHEN,54
574,it was called the facebook then.,470,MARK,54
575,this doesn't need to be that difficult.,472,GAGE,55
576,i'm currently in the middle of two different lawsuits.,473,MARK,55
577,did you answer affirmatively,474,GAGE,55
578,when tyler and cameron winklevoss and divya narendra,474,GAGE,55
579,asked you to build harvard connection,475,GAGE,55
580,did you say yes,476,GAGE,55
581,i said i'd help.,478,MARK,55
