,sentence
119,You're never gonna regret going home with that guy from the bar that one time
120,that was a total tomcat in the sack.
121,But I can't guarantee that you won't not regret it.
122, That was a double negative.  You're a double negative.
123,"Okay. Hannah, can I buy you a drink"
124,Okay. You know what It's time to go home.
125,Really  Mmhm.
126,"That's forward of you, but okay. I'll do it."
127,I TiVoed Saw III.
128,So should I get my car or yours Should I pull the car around
129,You been drinking I'll drive.
130, Liz Coming.
131, I'll have to call Nanna.  Huh
132,Oh. Noth
133,"So Stanford, huh"
134,Good for you. That's great. I know your dad's really proud.
135,"Yeah. Yeah, he's"
136," Are you sure you're okay  David Lindhagen, God."
137,Okay.
138,I'm sorry. Sorry about that.
139,It's okay.
140,Um
141, Mr. Weaver  Hmm
142,Um
143,You're the nicest dad that I babysit
144,"Of all the, um"
145,You're really nice.
146," That's very nice.  And, um"
147,"I like Ms. Weaver, I like her a lot. Okay"
148,But if she wants to divorce you
149,then I think she's batshit crazy.
150,Mm.
151, Sorry.  Okay. Okay.
152,I hope this doesn't make you uncomfortable.
153," I've developed, like, a little crush  Could you do me a favor"
154,"Would you not mention to your parents that Mrs. Weaver and I are, you know"
155,"It's something we wanna tell them on our own, okay"
156,Yeah.
157,"Thank you, I appreciate that."
158,Have a good night.
159,See you soon
160,Another vodka cranberry
161,I'm sorry. What
162,"Another vodka cranberry  Oh, yeah. Yes, thanks."
163,It's no surprise
164,"I've been by this place a million times, never come in."
165,"It's nice, lot of pretty girls."
166,Nowhere
167,This is my life
168," Hey, guess what.  What"
169,My wife is having intercourse with someone who is not me.
170,"Um, I'm sorry to hear that."
171,"Oh. Thank you. That is very nice of you to say. Very, very nice."
172,"She just told me. I just found out, so I'm a little raw. It's"
173,"Ah, okay. Well, you're not listening."
174,Okay.
175,You wouldn't ignore me if I were David Lindhagen.
176,My wife doesn't ignore David Lindhagen.
177,She screws him.
178,Screws him.
179,"They make this, like, gurgling sound, it's like:"
180,Gay.
181," Hey, Cal. Hey."
182,Hey.
183,"Oh, I just, uh I got the report on the endofyear financials."
184," Good. Good, good. Really great.  Oh, good."
185,You killed this quarter.
186,Okay.
187,"Cal, seriously.  All right."
188, Okay. Seriously.
189,Who told you that Emily and I are getting divorced
190, You're getting a divorce  Yeah.
191,Amy heard you crying in the bathroom. We all thought it was cancer.
192," Oh.  Thank God, man. Hahaha."
193,"Yeah, just my relationship."
194, Thank God.  Oh
195,Divorce.
196, I'm so lucky.  You are.
197," I have to go pick out furniture now. Okay, okay. You go for it."
198,"It could have been cancer, buddy."
199,"Hey, everyone, it's just a divorce."
200,"All right, buddy."
201,Thanks. Feels good.
202,Cal I just wanted to say
203,Shit.
204,Can I back that thing out of the driveway for you
205," Oh, no. I'll be fine.  You have trouble in reverse, is all."
206,"When I get settled, the kids can come and take a look at my new place."
207,"I think I'm having a midlife crisis, maybe."
208,Can women have midlife crises
209,In the movies it's always men having them and buying ridiculous yellow Porsches
210,"but, you know, I'm not a man."
211,Be sure to fertilize all this.
212,"We got married so young, Cal. And now I'm 44."
213,And it's so much older than I thought I'd be.
214,There's a turnoff valve for the sprinklers over there.
215,"Last week, when I told you that I had to work late"
216,I went to see the new Twilight movie by myself.
217,I don't know why I did that.
218,"And it was so bad, Cal."
219,"It keeps raining, you might wanna turn off the automatic setting."
220,And we haven't been us. Not for a long time.
221,And I don't know when you and I stopped being us.
222,"I mean, do you"
223,Maybe it's when you screwed David Lindhagen.
224,Nobody wants to be alone
225,The heart beats happy when it has a place
226,And if it doesn't have a home
227,It can come into my space
228,So you can be the one I love
229,I can be the one you long for
230,You can be the one I want
231,Hey.
232,"Sorry I'm late, I had to pick something up at Macy's."
233,Oh. Don't even worry about it.  A chardonnay.
234,I'm just glad you're here.
235,Wow.
236,I don't know. I don't know what happened. Tough couple of days.
237,You know when you don't see something coming
238,Claire said I can't be friends with you anymore.
239,What
240,She said we had to choose between you and Emily.
241,I chose you.
242,But she said no.
243,It's cologne.
244,Bernie
245," Are you breaking up with me, Bernie  There's a gift receipt in there also."
246,Bernie
247,Bernie. Bernie.
248,I can be the one you long for
249,You can be the one
250,You know a word that is not used very often anymore
251,"""Cuckold. """
252,I'm a cuckold.
253,David Lindhagen cuckolded me. He made a cuckold out of me.
254,He slept with my wife.
255,And I didn't know about it.
256,And that is the definition of cuckoldom.
257,David Lindhagen took my wife and slept with her.
258,"Thought I did everything right. Got married, had kids, the house."
259,What do I get for it I get cuckolded.
260,David Lindhagen cuckolded me. He made a cuckold out of me.
261,Welcome to my spaceship
262,It's beautiful forever
263,Can you give me five minutes
264,The heart's a lonely hunter
265,Interesting.
266,Hey. Jacob Palmer.
267," Cal Weaver.  Let me buy you a drink, Cal."
268," Thanks, I have a drink.  Sit. I'd like to buy you a drink."
269,Okay.
270,Guess what.
271, My wife is having an affair with  David Lindhagen.
272,David Lindhagen. I know.
273, How do I know that  I don't know.
274,I'm a total stranger. How would I know something so intimate
275, Lindhagen screwing with your wife too No.
276, Hmm. You wanna know why I know that
277,Okay.
278,"It's all that I've heard, Cal, for the past two nights. It's all anybody's heard."
279,You're going around and you're badgering people with this sadsack loser sob story.
280, I don't understand why.  I don't need this crap.
281," Cal, sit down.  All right."
282,"Look, I know that it sounds harsh, but it's true."
283,And you need to hear the truth. Okay
284,Okay.
285,"Cal, would you take that straw out of your mouth Please."
286,That looks like you're sucking on a tiny schwantz.
287,Is that what you want Is that the message you wanna send
288, No one's thinking that. Really
289," So permission to speak candidly, sir.  Uh, think you've already gone there."
290,You're sitting there with a Supercuts haircut
291,getting drunk on watereddown vodka cranberries like a 14yearold girl
292,and you're wearing a 44 when you should be wearing a 42 regular.
293,"Honestly, I don't know if I should help you or euthanize you."
294,"Cal, you got a kind face."
295,You got a good head of hair. You seem like a nice guy.
296,I wanna help you. I'm gonna help you rediscover your manhood.
297,"Do you have any idea, like, where you lost it"
298, A strong case could be made for 1984. Well.
299,We're gonna find it.
300,We are. I promise you.
301,"And I promise you this too, Cal:"
302,When we're done
303,this wife of yours
304,she's gonna rue the day she ever decided to give up on you.
305,That's my offer.
306,You in or you out
307,Why are you doing this
308,Maybe you remind me of someone.
309,You in or you out
310,I'm in.
311,"Hey, fancy face, you wanna go"
312,Okay.
313,"Century City Mall, food court, 3:00, Thursday."
314,"After you, hon."
315,"Good night, fancy face."
316,She will rue the day.
317,Set you guys up with some snacks over here. TV's already on.
318,You okay
319,Mm. Yeah. You
320,Mm.
321,Can I tell you something
322,Love sucks.
323,Yeah.
324,"You in love, buddy"
325,"Well, if you must know  Dingdong."
326," Oh, hey, Jess. Thanks for coming by.  Hey. Yeah."
327,What is she doing here
328,"Guys, I have to step out for a couple of minutes. Okay All right Okay."
329,Mom wants you to stay while she's out hooking.
330, What What
331,"Oh. Um, the place is nice, Mr. Weaver."
332,Thanks. That's a very generous adjective.
333, Honey. I don't need a babysitter.
334,She's only four years older. You need to know that.
335," She needs to know that.  I know, I know, I know."
336,"Man, are you growing up."
337,Look at him. It's unbelievable. He's in love already.
338,Oh.
339,Molly. Say bye to Daddy.
340," Wait, where are you going  I'm taking a class."
341," That is great, Mr. Weaver.  Thank you."
342,"This is a difficult time for you, right And it's important to try new things."
343,Even things that you haven't considered trying before.
344,"Mmhm. Yup. Molly, I'm going."
345,Okay. That's my princess. Bye. Thanks.
346," But wait. Dad. Bye, guys. See you in a bit."
347,"Hey, Tiger."
348," I love you so, so much.  Jeez, Robbie."
349,I love you so much. Please
350,What the hell am I doing
351,What am I doing
352,"Hey, uh, everybody."
353,"Everybody. Uh, if I could"
354,Thank you. A little toast.
355,I would like to thank you all for coming to Hannah Banana's goodbye party.
356,And to my
357,"  Hannah Banana. Ha, ha."
358,You go into your cave and you study your butt off.
359,"Because if you do, I just know that you are gonna kick that bar's butt"
360,out of here. You know  Yeah.
361,It reminds me of an old story my law professor told me
362,"Oh, dear God. Cheers, everyone."
363,Cheers.
364,"Hey, Liz."
365,"Listen, when my girl here passes"
366,I'm gonna have another little celebration right here
367,"and I hope you can make it, because it's gonna be a special night."
368,Okay.
369, Did you hear that Hear what
370," You heard that ""Special night"" Yeah. Yeah."
371,You think he's gonna propose
372,"At the El Torito Grill God, I hope not."
373,"Why, do you want him to"
374,"I don't know, he's nice."
375,"""He's ni "" Hannah."
376,He's a sweetheart. Look at him.
377," He bcc'd you  Right, yeah."
378,"All right. Hannah, look at you. Look at you."
379,"If you end up with that, what am I gonna end up with"
380, Shut up. Come on.  That shit's depressing.
381,All right. You know what I have to not bigsister you. It's fine if
382,"Jesus, really"
383,No. No. Not my life. Not my life. I'm going. Okay
384,So call me if you need anything. Bye.
385,You're awful. Bye.
386,Thank you for coming.
387,Um
388, You're late.  Yeah. Sorry.
389," Sbarro's  No, thanks."
390,Let me ask a question. How much you got for clothes
391,Um
392, What happened to your feet  What do you mean
393," These are my 407 s.  Oh, they're 407 s."
394, Can I see them  Yeah.
395, These offer a lot of support.  Right.
396,Whoa. Come on.
397," What, are you in a fraternity  Are you insane"
398,You could have hit somebody. What was that
399, I'm asking a question. You in a frat  No.
400, Are you Steve Jobs  What
401,Hold on a second. Are you the billionaire owner of Apple Computers
402, No. Oh.
403,"Okay. Well, in that case, you got no right to wear New Balance sneakers ever."
404, Come on.  Mm Oh
405,Okay. All right.
406,One of the best parts about being a guy your age
407,"Frankly, there aren't many, so you should really take full advantage of it."
408,Uhhuh.
409, Is that you can rebuild your entire wardrobe with like 16 items.
410,Credit card.
411,What
412,"You see, the problem is that your head has like"
413,Like the proportions of a Styrofoam peanut.
414,The skin under your eyes is starting to look like Hugh Hefner's ball sac.
415,It does.
416,Where are your wallets
417, I'm set for jeans.  You're not set for jeans.
418, These are fine. They're not fine.
419, You have a mom butt.  Why don't we just go to the Gap
420,You know what They have a s Okay.
421,What are you doing
422,"Cal, be better than the Gap."
423,Be better than the Gap.
424,Say it.
425,I'm better than the Gap.
426, Come on.  God.
427, Stop slapping me. Really. Okay.
428,You're beautiful.
429,He likes to slap me in the face.
430," What are you doing later  Ha, ha. I don't know."
431, I do.  Do you
432," I know exactly what you're doing.  Oh, ha, ha."
433,Seriously Seriously
434, You ask her out like that  Yeah.
435,And that worked
436,Yeah.
437,"Feeling kind of stupid, but"
438,Wow.
439,Look at you.
440,Feel like I'm going skiing.
441, Would you sleep with him  Jesus. God.
442," Yeah, probably.  Wha"
443,You would
444,That's What
445,What are you even saying
446,"You see what just happened, Cal"
447,"Soon as you opened your mouth, Tiffany started doubting whether she wanted to."
448,That's the meanest thing anyone's ever said to me.
449,No. This is.
450,Your wife cheated on you because you lost sight of who you are as a man
451,"as a husband, and probably as a lover."
452,"You're right, that's meaner."
453,Let's talk about how many women you've been with.
454," Sexually  Yeah, no. I mean breakdance fighting."
455,One.
456,No. Not at one time.
457,How many total
458,Don't say it. Don't say it.
459,"We met in high school, okay"
460,"Oh, boy. You're kidding me."
461,One woman That's great.
462, Emily is beautiful.  I guess.
463,She was gorgeous. She was one of those women
464,that could be wildly sexy and unbelievably cute all at the same time.
465,We had a little blip senior year
466,"I literally stopped listening at ""Emily. """
467,I think we should start approaching women tonight.
468,Are you ready to go
469,I miss my wife.
470,Hi. Hi.
471,How are you  Good. How are you
472,I'm great. I'm Jacob. What's your name
473, Oh. Amy Johnson.  Amy Johnson.
474," I'm Jacob Palmer. How you doing  Uh, great."
475,Good.  I'm Cal.
476,No. Not yet.
477," Sorry. Amy, can I buy you a drink  Uhhuh."
478,Keep her company
479," I'd be happy to.  Lf he gets handsy, let me know."
480,I wouldn't touch you if my life depended on it.
481," Uh, what was your name  Cal Weaver."
482,Cal Weaver.  No relation to Dennis Weaver.
483, Uh Uh  McCloud.
484,McCloud was a show in the '70s that
485,"You're not talking about McCloud again, are you"
486,"Here we go, huh To all of our fallen homeys."
487,"Well, I'm the fourth of five sisters."
488, No. That's boring.  Oh.
489,"Not for your sisters, but for my purposes, it's not gonna work."
490, Okay.  I have this friend.
491,And he thinks that you're way too pretty to be interesting and that's hogwash.
492," All right. You wanna get out of here  Uh, sure."
493,Giddyup.
494,Am I boring you I'm totally boring you. I'm
495,"How are you doing this, like"
496,wildly sexy but unbelievably cute thing that you're doing
497,Uh  It's weird.
498, You wanna get out of here  Yeah.
499, Okay. Cool.
500,"So Molly, who's 6 at the time, can't find Mr. Bobo."
501,We're looking all over.
502,It's in the kitchen. Mr. Bobo was in the kitchen the whole time.
503,Wanna get out of here
504,Have a good night.
505, Let's get out of here.  Yeah.
506, Let's get out of here.  Okay.
507, Let's get out of here. Absolutely.
508, Let's get out of here.  Okay.
509, Let's get out of here.  Okay.
510,Shit.
511," You have a second  Hey, David. No. Because I'm swamped."
512,You've been avoiding me.  No. I haven't.
513,You ran in the other direction when you saw me coming down the hall yesterday.
514," You're very fast, by the way.  I ran track in high school."
515,That must be it.
516,"Hey, listen, I'm sorry about you and Cal."
517," No, you're not.  No, I'm not."
518,"I like you, Emily."
519,Do you have any idea how much I like you
520,"Hey, David, you know, I really have a lot to do."
521,I had no intention of falling for a married woman
522,but all of a sudden we're having lunch and I'm this accountant
523,who's waking up every morning excited to go to work.
524,And that just does not happen for accountants. Ever.
525,I checked with other accountants.
526,"David, you know what You've been a great friend."
527,You noticed last month when I got my hair trimmed and that was huge.
528,"But look, trust me. You know"
529,"I am saving you from disaster, because you're asking to preboard the Titanic."
530,Do you really want any part of this
531,Do I really want any part of this
532, Emily Your report's ready.  Okay.
533,"Okay, people. Here it is."
534,The Scarlet Letter by Nathaniel Hawthorne.
535,A romance set in Salem in the 1600s. It is about sin.
536,Forced to wear the scarlet A to punish her adulterous behavior.
537,Dimmesdale's A is inflicted upon himself in the form of a
538,Mr. Weaver.
539,Mr. Weaver.
540,Are we interrupting
541,"You wanna talk about The Scarlet Letter, Ms. Tafferty"
542,All right.
543,"Well, the A they're both wearing"
544,"I think it stands for ""asshole. """
545,Wanna know why
546,Because they fell in love
547,and love is for stupid assholes.
548,And this book is just about a bunch of assholes
549,"who fell in love, like assholes"
550,"then had to die, like assholes."
551,"I'm sorry about all the ""assholes. """
552,You know what else might work A swear jar.
553,"You know, a quarter per curse word."
554,"Yeah, we'll definitely try that."
555,All right. Could help.
556, Take care.  Thanks.
557, Seriously  Sorry.
558,"Hey, I have to go back to the office. You're gonna have to wait for me there."
559,Fine.
560,"They're still making kids read The Scarlet Letter, huh"
561,Yep.
562,You'd think somebody would have written something better by now.
563,"I guess I should take that down, huh"
564,I guess.
565,So how is he You know.
566,"I mean, I Oh, no. I'm sorry. Forget it. Just ignore me."
567, Forget I ever  He's out a lot.
568, A lot  Yeah.
569,Like
570,"Like ""a lot"" a lot, or just like a little"
571,A lot.
572,"Well, that's good. That's really good."
573," Wanna get takeout tonight, honey  I mean, he's sad."
574,I can tell that he's sad. Even though he looks better
575,"I can still tell that he's not happy, you know"
576,"Yeah. Well, you know. Yeah."
577,I guess I'm pretty sad too.
578,I know.
579,I heard you crying the other night.
580,Didn't know what to do.
581,"Oh, Robbie, baby, you're 13, you're not supposed to know what to do."
582,I tried Googling it.
583, You did not.  Yep. I did.
584," Well, what did you Google  I searched ""Mom crying in bed. """
585,What did Google say
586,Just a bunch of weird videos of moms in bed.
587,"Ugh. Oh, God. Okay. All right, that's enough. No more."
588,Do those parental controls work at all
589,They work for me.
590,"Because you're a disgusting teenager, that's why."
591,"Hey.  Oh, hey."
592," Bill wants to see you before you take off.  Oh. Uh, David, this is my son, Robbie."
593,"Robbie, this is David."
594," Um, we work together.  How you doing, buddy"
595, You all right to wait a little bit  Yeah.
596,"Okay. Thanks, David."
597,"So, Robbie, I hear you're quite the soccer player."
598,"So, David, I hear you broke up my parents' marriage."
599," You are David Lindhagen, right  Lindhagen."
600," Yeah. Here's the thing, Lindhagen.  Hagen."
601,Whatever.
602,"In the end, she winds up back with my dad."
603,He's a better guy than you are in every category.
604,And she still loves him. He's not gonna give up on my mom
605,like I'm not gonna stop sending Jessica messages
606,that make her feel uncomfortable.
607,"Hey. You ready to go, honey"
608," Can we order Chinese for dinner tonight Yeah. Sure, honey."
609,"Hi, David. Get your stuff."
610," Bye, David. See you."
611,You're not gonna be able to feel your arms.
612,I'll be fine.
613,Jesus Christ.
614,"Look, let's face it, Cal, all right"
615,"The war between the sexes is over, and we won, okay"
616,We won the second women started doing pole dancing for exercise.
617,"But even though we won, they still deserve our respect."
618,"Make them feel beautiful, listen to their problems, open the door for them."
619,"Would you put on some clothes, please"
620," I'm sorry, is this bothering you  No, it's not."
621,"My schwantz is in your face. If it's not bothering you, we got a problem."
622," Okay, it bothers me.  I don't care."
623,"You gotta take control of your manhood, pal. You know"
624,"You want something, you take it."
625,"You don't like something, you say it. I take what I want."
626,"David Lindhagen certainly took what he wanted, didn't he"
627,And I can guarantee you this:
628,He is opening the car door for your wife right now.
629,"What, you passing out"
630,"Oh, boy."
631," I think you're ready, pal.  For what"
632,"To talk to a pretty lady, and take her home and show her your gift."
633,"No. No, I'm not."
634,You're ready as you're ever gonna be.
635,"You play your strengths, pal. That's all any of us can do."
636,I'm mysterious.
637,"I'm, you know, good in bed."
638,"And you are a, uh"
639,"you know, stable and employed adult."
640,Jesus.
641,You see this lady over here at 9 o'clock
642,You want me to hit on her
643,"No, I wanna hit on her. The one behind her."
644,Oh.
645,"She's a fox, right Mmhm."
646,You think she came to a crowded bar to have a quiet drink alone She's hunting.
647,She's just looking for an opportunity to settle for a responsible and stable adult.
648,And I'd like her to settle for you.
649,"Oh. Well, thank you for the ego boost, but you know what"
650,Just because I've watched you pick up women
651,doesn't mean I know how to pick up women.
652, Ever see Karate Kid  What does that have to do with anything
653,When he's teaching him to wax on and off but really to fight
654,You want me to fight someone
655,What's the first thing I do when I go up to a girl I buy her a drink.
656,"Yes, always. Without fail. You buy her a drink."
657,"Even if she doesn't want one, you insist."
658, And do I talk about myself  Never.
659,"Never about yourself, always her."
660, Because bar banter  Is boring.
661,So you put the impetus on her. She has to be the interesting one.
662,"""Impress me. Impress me with how interesting you are. """
663,"It's a big game. Game. Creepy, creepy little game you play."
664," That's judgmental, isn't it  Mmhm."
665,At the end of the night do I ask them to come home
666,"No, you tell them to come home. They have no choice in the matter."
667,It is your choice and they are so overjoyed to have had the opportunity
668,"to make sweet, sweet love to you."
669,"Oh, my God."
670,"You did, you Miyagi'd me."
671,Honk.
672,Take your ring off. Let's go.
673,"Just no talking about your kids, your job, David Lindhagen, don't you dare."
674,"Shut up, shut up. Just shut up."
675, Hello. Hi.
676,Hi. Hi.
677, Who are you  Hey. I'm Kate.
678," Kate, you mind if I introduce you to my  I'm Cal."
679, I got this. Pleased to meet you.  Hi.
680,And this is my friend Jacob. He was just leaving.
681, Oh.  Oh.
682,So that's one way to treat people.
683,"So can I buy you a drink, Kate"
684," Oh. No, thank you.  I'm gonna buy you a drink anyway."
685,"Grey Goose, right"
686,Rocks. Two limes
687,I'm five years sober.
688, What can I get for you  Nothing. Nothing.
689,"Go away, we're good. Please don't come back ever."
690," Ahem. So, what do you do, Cal  I don't know. What do you do, Kate"
691, I asked you first.  I asked you second.
692,"Seriously, what do you do"
693,"Seriously, what do you do"
694,Are you really not going to tell me what you do
695,Ah
696," Uh, okay, I'm a teacher.  Boring."
697,"Come on, you gotta keep it interesting. Interest me."
698,Uh
699, I studied at Oxford for five years.  Boring
700,Wow. Teacher with an alcohol dependency who studied at Oxford.
701,"Blah, blah, blah. Bleh."
702,England. Yuck.
703,I think my friends just got here.
704,"I'm sorry. I'm sorry, I'm sorry, I'm sorry."
705," Okay, I'm in corporate insurance.  Oh, God."
706,"I have children, plural."
707,My wife was cheating on me with Lindhagen
708,which I wasn't supposed to tell you. Nice to meet you.
709, What were you supposed to tell me  I don't know. I don't know.
710,I was supposed to say that you are the perfect combination of sexy and cute
711,which is actually something that I used to say to my wife.
712,But now it's become corrupted.
713,And I have 18 layers of clothes on.
714,I'm wearing a shirt and a tie and a sweater and a suede jacket
715,that just seals in all the heat.
716,Seals in all the juices.
717,It's all sweat under here. This is just sweat from here down.
718,"This sweater, this is called slim cut, but it feels like a scuba suit."
719,And I'm looking at your breasts. What's that about
720,You think I'm the perfect combination of sexy and cute
721,That's what you picked up from what I just said
722,"Mm, mm."
723, So this is my crappy apartment.  Oh. Ooh.
724,Dumpy. That I had to move into after my wife left me.
725,I love how you're being so honest.
726, You like that  It's so different. It's so hot.
727,Okay. Okay.
728,"Aah Ha, ha.  Wow Wow"
729, More.  Okay.
730,Wanna hear something really hot  Mmhm.
731,I've only had sex with one woman. In my entire life.
732, Honest or not honest  That's honest.
733,More Tell me more.
734,I'm a little worried you have AIDS.
735,Just a little. Just a little bit.
736,"It's okay, I'm not worried."
737,"Oh, my God, this is so much fun."
738,What do you wanna do with me
739,Oh
740,I wanna show you off to my exwife and make her really jealous.
741,"Whoa, man."
742,"Phew. Ha, ha."
743,You gonna call me
744,Okay.
745,Yeah.
746,"Wow, that is a great dress. Where'd you get that"
747,Thank you. A store in Beverly Hills.
748,Really Beautiful.
749,It was a gift from my grandmother.
750, Really It's a Krugerrand.
751,It's from South Africa.
752,I love it.
753,And I told him never to assume anything.
754,"And I've been to Maine, so that's a sixth state. So I've been to six states."
755," Oh, I love Maine. Oh, yeah, it's beautiful."
756," Have you been to Waterville  I have, yeah."
757,"Greece, Italy."
758,"Greece, Italy"
759,Wanna get out of here
760, You're driving.  I am.
761,I have never experienced that in my life.
762, Pretty great.  Are most women like that these days
763, God bless technology.  God bless it.
764,I went and met this girl the other night. She was heckling me the whole time we
765,I felt like I was doing it with the two old guys from The Muppet Show.
766, Hahaha. Statler and Waldorf. I was into it.
767,"And she was like, ""Look at this frown on your face. What is that"
768,"You're so serious. What, it's serious to kiss me It's supposed to be fun."
769,"Oh, my God, if it's gonna be hard work, why don't you just stop"""
770,Hello
771,Hey. Hot guy from the bar who hit on you is here.
772,"Tsk. Liz, I'm studying."
773,You should be studying the ceiling of his bedroom.
774,I am eating a caramel apple.
775,"In what world, honey Please, turn around. No."
776,"Come on, take a break. It'll be good for you to get out."
777,And by get out
778,I mean have hot guy from the bar knock you into his headboard until you see God.
779,What is wrong with you
780,You should be studying the curve of his
781,"Okay, goodbye, Liz."
782,That too much Hello
783,"Look, I gave him the cologne like you told me to"
784,and I don't think we should really just dance on his grave.
785,I just thought you'd wanna know what I heard about your old pal Cal.
786,"What about Mr. Weaver, Mom"
787,"Um, just, apparently, Mr. Weaver has become a real ladies' man."
788, What  Claire.
789,She should know. She babysits for him.
790,She's almost an adult. Lots of young women in and out of his apartment.
791,She's too young for this.
792,I don't like this SEX talk in front of the KIDS.
793,"First of all, they can spell. Second of all, I'm just saying."
794,I think we were right in choosing Emily.
795,"Oh, um  Why are you following me"
796,"Madison, I just had a question for you."
797,"Okay, Jessica, what's up"
798,It's kind of on the personal side.
799,"Yep, my lips are:"
800,Seals. My lips are seals.
801,Okay. Um
802,"My question, and I don't mean to be blunt or insulting, but let's just call it what it is."
803,"You're always sleeping with older guys, right"
804," Always. Oh, um"
805,"So my question for you, Madison, is, um, how do you do that"
806,"I mean, how do you get them to see you as not just a kid in high school, you know"
807,"But as someone that's mature, and old, and that's"
808,"Well, first off, I have a huge rack."
809,"Uh, yes, you do."
810,You don't have a huge rack.
811,No.
812," Wait, how old is he  Old."
813,Like really old
814," Like parentold.  Nasty, Jessica."
815,"Yeah, because that's what I was thinking, right"
816,Rock on.  Thank you.
817,"You are so dirty.  Yes, I know."
818,"Oh, okay. You gotta force his hand."
819,You know what I mean
820,Go TMZ on his ass.
821, Not following.  A dirty picture.
822, Oh. Oh.  Make this face:
823," Jeez, Madison. Stop. What"
