,sentence
131, Yeah  We got an arrest
132, Yeah We got him  Yes
133, Yeah Fuck you Yeah  Fuck you Yeah
134,What's up
135,Drop my nuts on your motherfucking forehead
136," That's right.  Fuck you, park"
137," We arrest people now  What up, park"
138," What's up What's up  What up, park Who wants one"
139,"Congratulations on the bust, boys. It sounds great."
140," Thank you, Cinnamon.  Are those new"
141,The department was forced to drop the charges
142,because you forgot to read him his Miranda rights.
143,What possible reason is there for not doing the only thing
144,you have to do when arresting someone
145,I did read him his right I did a version of that.
146, Do you even know the Miranda rights  Yes.
147,"Let's hear them, then."
148,You got a lot of stuff to do.
149,"No, go ahead. You going anywhere, Schmidt"
150,We got time.
151,"I had a thing, but I can probably push it back."
152,"Go ahead. It's four declamatory sentences, followed by a question,"
153,for a total of 57 words.
154,"Okay. Look, it obviously starts with, ""You have the right to remain silent."""
155,"I know you've heard this before. And then,"
156,I think it sounds something like
157," ""You have the right to an attorney.""  Well, the thing Yeah, right."
158,"""You have the right to remain an attorney."""
159,Did you say that you have the right to be an attorney
160,"You do have the right to be an attorney, if you want to."
161,Where were you
162,"I was chasing my perp, sir."
163,And how did that go for you
164,"Honestly, he did get away,"
165,and he threw me down pretty hard.
166,Actually fucked up my elbow pretty bad.
167,Can I see that
168,"Yeah, actually, it hurts 'cause the dirt gets mushed into it."
169,Wow.
170,"Fortunately for you two,"
171,we're reviving a canceled undercover police program from the '80s
172,and revamping it for modern times.
173,"You see, the guys in charge of this stuff"
174,"lack creativity and are completely out of ideas,"
175,so all they do now is recycle shit from the past
176,and expect us all not to notice.
177,"One of these programs involves the use of young,"
178,immatureseeming officers.
179,"Sir, are you saying that you're going to send us into, like,"
180,a child sex slavery ring or something
181,"Sir, if I have to suck somebody's dick, I will."
182,It's just I'd prefer not to.
183,I think you idiots are perfect.
184,You're officially transferred.
185, All right. Yeah.  That's great.
186,Where should we report to
187,Down on Jump Street.
188,37 Jump Street.
189,"No, that doesn't sound right."
190,Is it
191,This has got to be a joke.
192,This is it.
193,Aroma of Christ Church
194,How's it going
195,This place is weird.
196,Everybody comfortable
197,Yeah.
198,Get your motherfucking ass up when I'm talking
199,You will be going undercover as high school students.
200,You are here simply because you look young.
201,"You some Justin Beaver,"
202,Miley Cyruslooking motherfuckers.
203,Captain Sassy.
204,"I know what you're thinking,"
205,"""Angry Black Captain."""
206,It ain't nothing but a stupid stereotype.
207,"Well, guess what, motherfuckers."
208,I'm black.
209,And I worked my ass off to be the captain
210,And sometimes I get angry.
211,So suck a dick
212,"What I'm trying to show you is,"
213,embrace your stereotypes.
214,Like this guy right here. Handsome.
215,And he's probably a dummy.
216,And then this guy.
217,He's short and insecure.
218,And he's probably good with money.
219, You are good with money.  What the fuck
220,Didn't somebody tell you guys this was an undercover unit
221,I don't I actually didn't..
222,I didn't get a letter or anything.
223," Yeah, like, a start time  With a dress code or anything like that."
224,Teenage the fuck up
225,Rule number one at Jump Street. Fugazy.
226,Do not get expelled.
227,Nobody in the system knows you're here. All right Nobody.
228,"You get kicked out of school,"
229,your monkey ass is getting kicked out of Jump Street.
230,Rule number two. Burns.
231,"Do not have sexual relations with students or teachers, sir."
232,You hear that That's you.
233," Don't do it, man.  Why"
234, Keep that dirty dick in your pants.  Dirty
235,Don't fuck no students.
236,Don't fuck no teachers.
237,"Sir, I know we come off as a couple of ladykillers,"
238,but I promise you we will be super professional on the job.
239,"Clearly, I wasn't talking to you, Big Titties."
240,You Cherublooking motherfucker.
241,I was talking to your partner over here.
242,Fakeass Handsome McGee.
243,"When I'm talking to him, I'm talking to him."
244,"When I say, ""Shut the fuck up,"""
245, I'm talking to you.  Cool.
246,"Now, you two sons of bitches, in my office now."
247,Right now
248,Hi. I am Billiam Willingham.
249,"So I bought these,"
250,which is all anybody seems to be talking about right now.
251,Cheers.
252,It's a new synthetic drug.
253,Goes by the street name H.F.S.
254,Holy fucking shit.
255,Holy
256,They put this on the Internet for everybody to see
257,"They're teenagers, man. They're really stupid."
258,So you should blend right in.
259,"Jessica, will you go to prom with me But I already know the answer It's yes."
260,I could watch this kid all day.
261,"Man, this kid rules."
262,Ruled.
263,His parents found him OD'd in his room a few days ago.
264,He's dead.
265,"Whatever he took, the lab has never seen it before."
266,"And as you can see, this kid is white."
267,That means people actually give a shit.
268,"Sir, I just want to throw out to you that I would give a shit if he was black."
269,"Right now, H.F.S. is contained right there at Sagan High."
270,"Now, once this drug breaks containment, it goes viral in a few days."
271,"Jenko, I looked at your old transcript."
272,I enrolled you in a bunch of bullshit courses
273,like photography and drama.
274,Get in with the burnouts and the cool kids.
275,Find out who's slinging this shit.
276,"Schmidt, says you were a virgin"
277, through high school.  It says that
278,"No. I just assumed it,"
279,due to your many years on the honor roll and your membership to the juggling squad.
280,"It's the Juggling Society, but it's fine. It's fine."
281,They're stealing equipment from the chemistry lab.
282,That's what we think they're cooking the dope with.
283,I enrolled you into honors chemistry.
284,"Here's your new identities, all right"
285,Brad and Doug McQuaid.
286,The mission is this.
287,"Infiltrate the dealers, find the supplier."
288,We get to be brothers
289,"Infiltrate the dealers, find the supplier."
290,"But if we find the supplier first, we don't have to worry about the dealers."
291,"God damn. Infiltrate the dealers, find the supplier."
292,"Hey, Korean Jesus."
293,I don't know if you only cater to Korean Christians
294,or if you even exist. No offense.
295,I just
296,I'm really freaked out about going back to high school.
297,It was just so fucking hard the first time.
298,"I know we haven't made our first arrest, or maybe I'm not the best cop."
299,"Korean Jesus, I just really don't want to fuck this up."
300,I'm sorry for swearing so much.
301,The end
302,I don't really know now to end a prayer. The end
303,Yeah.
304,Hey Hey
305,Stop fucking with Korean Jesus
306,He ain't got time for your problems. He busy
307,With Korean shit.
308, You two get to your mama house ASAP:  What
309,"You're teenagers now, all right"
310,You two are staying at Schmidt's parents' house
311,for the duration of this assignment.
312,Fuck me.
313,This house is adorable.
314,My baby's home Come here.
315,You will always be my infant angel baby child.
316,There's my guy.
317,It's great to see you guys.
318," Hey.  Schmidt family Up top, Papa Schmidt."
319,"Oh, my God. Mama Schmidt, did you do all this yourself"
320," This is unbelievable.  Well, yeah."
321, I guess I did.  It's gorgeous
322,So are you.
323,"Honey, listen, I want to tell you, we did blow up the air mattress in your room"
324,"'cause we're kind of using that as a workout area,"
325,so I hope you don't mind the elliptical.
326,"No, no Jenko, Jenko, oh, my God, please. No, no."
327,Don't touch that. We just brought it back from Sedona.
328,"Guys, can we get rid of this stuff"
329,"I mean, it looks like I died in a car crash"
330, and you guys haven't moved on.  Rid of it
331,"If we take it down, we have to stop bragging about you."
332,"I look like Fred Savage from The Wonder Years,"
333,"but completely naked, wearing Indian friendship bracelets."
334,"That is a great picture, Morton."
335,You look like a young Jay Leno.
336,Am I even wearing underwear in this picture
337,No.
338,I remember. You know why
339,"Because I've told it to a therapist about 8,000 times."
340,"I mean, this is a fourth grade participation medal for soccer."
341,It's literally a medal for sucking.
342," No, that is a medal for trying.  Yes."
343,Let me tell you something. This guy was always a great tryer.
344,That must be Phyllis. She is just dying to see you.
345,"What Mom, you told Phyllis I was here She's going to tell the whole neighborhood."
346,"I told you, it's an undercover assignment. It's super secretive."
347,"""Undercover."" That's so cute."
348," I'm going upstairs.  Okay, honey. I want you to know"
349, we are so glad you're here.  Okay.
350,That's great. Thank you.
351, All right. Where is he  He's upstairs.
352,"He just needs to take a little rest, and then he's dying to see you, too."
353, Byebye.  I baked muffins
354,"If you don't know your identity, we're screwed tomorrow."
355,You got to study this stuff.
356,Forget those identities. They're bullshit. They said I was held back a year.
357,You were. You were held back two years.
358,Just 'cause it's a fake backstory doesn't mean it doesn't hurt my feelings.
359,Fuck Socks don't match.
360,I got to start all over.
361,"It's the first day of school, dude. I got to look awesome."
362,"You know, back in the day, you were super popular,"
363,and I wasn't as much.
364,We didn't really get along in high school.
365,"You don't think that's going to happen again, do you"
366,"No. Come on, man. We're adults now. We're best buds."
367,It's definitely not going to happen again.
368, We're good.  Cool.
369,"Beautiful day out there, boys."
370,Just shut up.
371,"""Anything you say can and will be used against you in a court of law."""
372,"""You have the right to an attorney."""
373,"""If you cannot afford an attorney, one will be appointed"""
374,"Dude, do you still not know the Miranda rights You're a cop."
375,"Come on, man. They always cut away on TV before they finish them."
376,"All right, let's do it."
377," Whoa, whoa, whoa, whoa, whoa.  What"
378,What are you doing
379, What What are you talking about  Are you twostrapping
380," My backpack Yeah.  Yeah, I got to be seen with you."
381,You got to onestrap it.
382,"Seriously, I would nostrap it if that would even be possible."
383,"Okay, what makes you the expert"
384,"I was cool in high school, and you weren't."
385,"Okay, that makes sense. Continue."
386,"The Three Keys of Coolness in High School, by Jenko."
387,"One, don't try hard at anything."
388,"Okay Two, make fun of people who do try."
389,"Three, be handsome."
390,"Four, if anyone steps to you on the first day of school,"
391,you punch them directly in the face.
392,"Five, drive a kickass car."
393,Shit.
394,"All right, but just don't be driving it like teenagers,"
395,"revving up the engine and shit, okay"
396,We would never.
397,"Come on, Hoffs. Give us a little credit."
398," Hey, you ready  Go"
399,That was awesome That was amazing.
400, Was I flying  That was amazing.
401,"All right, do mine, do mine."
402," Okay, ready Here I go.  Yeah, yeah."
403,You okay
404,I think I shit my pants.
405,"Hey, park in that handicapped spot."
406, It'll make us look cool.  That's awesome.
407,Dude
408, Everybody's twostrapping it.  Just stay with the onestrap.
409,I can't. I can't. I can't right now.
410,What are you doing What are you doing Don't succumb to the peer pressure.
411, What are you doing  You're supposed to use two straps.
412, One strap is peer pressure.  No. No. You're fucking up right now.
413,"Okay, those are Goths."
414,Those are nerds.
415,I don't know what they are.
416,What the fuck are those things
417,I'm so confused right now.
418,Whoa.
419, Hi.  Hey
420, Hey.  Good morning.
421,"Hey, yo. Hey."
422, Is that your car  Yeah.
423,"What's that thing get, 10 miles to the gallon"
424,"No, try, like, seven."
425," What about you  Biodiesel, dawg."
426,Smells like egg rolls.
427,"Yeah, it does. Runs on leftover fry oil from Hunan Palace."
428,But we try to ride bikes when we can. Global crisis and whatnot.
429,"Whatever, man. I don't care about anything."
430,"You don't care about the environment That's kind of fucked up, man."
431,"Hey, hey, will y'all shut the hell up"
432,I'm trying to study. Thanks.
433,Look at him. He's trying.
434,He's actually trying. What a nerd.
435,Look at the nerd. Look at the nerd.
436," Look at him. Look at the nerd.  Who you calling a nerd, man"
437,I'm sorry. What
438," Shit  Shit, dude."
439,"Are you okay, man Hey, what the hell Are you serious"
440,"Well, turn that gayass music off."
441, You punched me because I'm gay  What
442,No. Come on.
443,"That's not cool, man."
444,That is really insensitive.
445,I didn't punch him because he's gay.
446,"I punched him, and then he happened to turn out to be gay afterwards."
447," I was gay when you punched me  In a weird way,"
448,it might have been homophobic not to punch you
449, just because you were gay.  Right.
450,"You punched a little gay black kid in the face,"
451,and it's not even second period. How do you explain that
452,"Mr. Dadier, I'm so sorry about that. I just"
453,"Look, guys, I'm going to relate to you, okay"
454,"A kid died the other day from drugs,"
455,"and nobody, including me, is doing anything about it."
456,"That's weird, guys."
457,"And then you two show up, with 30 days left,"
458,causing trouble in my school.
459,I am one more black gay kid getting punched in the face
460,away from a nervous breakdown. Do I make myself clear
461,"You guys cross my line again,"
462,"and you walk into this office, I'm going to expel you. You got me"
463,"All right, let's do this. Which one of you is Doug"
464,Let's do that again and pretend you guys aren't weird.
465,Which one of you is named Doug
466," No, dude, I'm Brad.  Okay, good."
467,"So that means your name is Doug, son."
468," Yeah, I'm Doug.  Great."
469,Here are your class schedules.
470,"Funny, I wouldn't have taken you for the brainy type."
471,"I wouldn't. But you as a drama geek, far less surprising."
472,Thank you.
473,"Now we have the wrong identities, you dumbass."
474,I'm in drama. I suck at drama. It's girly and embarrassing.
475,"Oh, my God. Relax, dude. Who cares"
476,I can fake my way through band practice and app chemistry for a few weeks.
477,"AP Chemistry. AP Chemistry. And, no, you can't,"
478,because you don't even know what it's actually fucking called
479,"It's going to be fine. You go to my classes, and I'm going to go to yours."
480,"Okay, now, chemistry's the one with the shapes and shit, right"
481,Fuck.
482,"So, we are going to hold auditions for the Peter Pan part today."
483,Billiam would have wanted the show to go on.
484,"When I was a young actor just starting out in New York state,"
485,"Albany, to be exact,"
486, I booked a local television commercial  Hey.
487,In which I had to play a young man
488,It's really sad about that kid. He was talented.
489,"So are you saying if he wasn't talented, it would be less sad"
490,"No. No, no, no, that's not what I meant."
491,I was just busting your balls.
492,Okay. Good.
493,"I remember, one time, doing cocaine with Willie Nelson's horse,"
494,and we were having so much fun.
495,And then I realized that she was dead.
496,I remember one summer
497,Do kids still do this stuff
498,Even after what happened to him
499,Everyone's saying that Billiam had a heart murmur.
500,"Pretty much everyone I know does it, but it's not my thing."
501,"It's not really my thing, either,"
502,but a buddy of mine really wants it.
503,Who would he call if he wanted it
504,"Well, you can tell your friend"
505,"that if he really wanted it,"
506,it's not so hard to find.
507,When to take it. He shouldn't have been taking it at all.
508,Drugs are bad.
509,But they can have their place in the life of a professional actor.
510, Thank you.  You're welcome.
511,"Notice the distinction. I said ""professional actor."""
512,New person. Mr. Texty Texty.
513,"Since you have so much to say to Molly,"
514,let's see if you can be Peter to our Wendy.
515,You look like you might have a little Peter inside of you.
516,I can't. I'm fine just being a tree or something.
517,"Doug, you never won't know"
518,what you can't achieve before you don't achieve it.
519,"My point is,"
520,you have to. Everyone auditions for Peter.
521,"Yeah, sure."
522,My favorite molecule is water.
523,"I'd marry it, unless it was my daughter."
524,"Its solid form floats on its liquid form, which makes it far outside the norm."
525,"It allowed life to form on ancient Mars, and we use it to wash our cars."
526,H2O.
527,H2O. H2O.
528, 20  It's okay. Thank you.
529,"Thank you, Zack. So good."
530,"All right, anybody else for Molecule Mondays Anyone"
531,Okay. Time for a pop Quiznos.
532,A what
533,I'm sorry.
534,What is your name Brad
535," Brad. Yes, ma'am.  Wow. Look at you,"
536,Brad. Big.
537,What is a pop Quiznos
538,"It's a quiz, and the first person who finishes gets a $10 gift certificate to Quiznos."
539, Today's quiz is on  You look really old.
540, Were you held back or something or  No. You look super young.
541,Were you held forward
542,"I went to school in France, so.."
543,"And they do, like, two extra years of middle school there. It's so lame."
544,"French, the language of love."
545,"That's cool, man. It's nice to meet you also."
546,Hey.
547,Good luck.
548,I've gotta crow.
549,I'm just the cleverest.
550,Okay.
551,Maybe try one cooler.
552,And faster.
553,And louder. And better.
554,And less insecure and more just cool.
555,"Okay, yeah, those are great notes."
556,"I'm going to run outside,"
557,"and I'm going to utilize those, and I'm going to come back."
558,It's such bullshit.
559,Wow. You're fast.
560,"Not like that. Just, let me check you out."
561,Let me check out your chest.
562,Check out your test Let me
563,Let me grade your quiz.
564,Can I go take a dump
565,"Yeah, okay. That's cool."
566,"We have this ""hurry back"" rule,"
567,"so if you're not back in six minutes, I have to send you to the principal."
568,"Rules are rules, so,"
569,I guess this will have to be a quickie.
570, Which way is yearbook  I don't know.
571, Is it this way  I don't know
572, Hey.  Hey.
573,"You guys, huh"
574,"That was a total mixup, what happened earlier."
575, Yeah.  He feels awful. He feels
576,"Totally, very nervous."
577,You're the dealer
578, You're the dealer guy  Is that you
579,Yep
580,So do you make the stuff or
581,"Do I look like a fucking scientist No, I just sell it."
582," Yeah, he just sells it. Come on.  Yeah, no, I'm sorry."
583, I meant I just  How many you guys want
584,20 bucks a pop.
585,One each One pop each of drugs.
586,"You guys aren't narcs, are you"
587,Whoa
588," Dude, come on.  No Maybe you're a narc."
589,You know who calls people narcs
590,"Narcs, narc."
591,"First of all, your argument kind of just collapsed on itself,"
592,"because if you call us narcs,"
593,"if narcs call people narcs, and you call us narcs, then that's kind of"
594, 'Cause you just said that.  They call people
595,"Look, I don't have time for this shit. You guys want to do this or not"
596, Jesus.  Yes.
597," Yes, yes.  No problem."
598,"All right, take it here so I know you're cool."
599,I'm sorry. What
600," We were going to take it home.  I gotta go back to class,"
601," is the only thing.  I was thinking that I was going to go home,"
602,"maybe turn down the lights,"
603,"getting snuggy, get a little weird."
604,"I was going to take it, and then masturbate later."
605,"Okay, I'm not asking. Take it now or get the fuck out."
606,I got to finish the girls' volleyball page by lunch.
607,Yeah
608,"Yeah, no, it's all good."
609," I love doing drugs at school.  I'll just take the drugs right here,"
610,in our mouths.
611,There you go. That's it.
612,What is that Barbecue Cool Ranch
613,Have fun.
614, You got to pull the trigger  Okay.
615,You got to pull the trigger
616," We got to throw up, man.  I can't."
617,"We gotta throw up. That kid, Billiam, died. We got to throw up."
618,Just think of something gross. Think of something gross.
619," You fucking think of something.  Okay, all right, all right."
620,"Your grandma's vagina, and there's a dick going into it."
621, What the fuck are you saying  I don't know I'm just trying
622," I'm trying my best I'm just trying  Fuck Come on, man"
623,"Dude, let's just finger each other's mouths."
624, No  Yeah.
625,"No, you're not fingering my mouth."
626," Do you wanna die Do you wanna die  Okay, fine"
627,Let's go. Come on. Come on Come on
628,What are you doing Are you trying to find my Gspot
629, Just stick it in  I don't know. I've never done this before
630,Just stick it in Go
631,Cut your fucking fingernails
632,"Oh, God"
633,Is it me
634,I'm sorry.
635,I just can't sometimes.
636,Think we're going to be fine. I don't feel anything.
637,"Me, neither."
638,"Hey Whoa, whoa, whoa, whoa, whoa."
639,You got a pass for running around the hallways like a couple of dingalings
640,"Pass, in your hand."
641,Hello.
642,Damn. You guys are late.
643,Now I'm going to have to take you to the principal's office.
644," No, no, no, man. Come on, please. Sorry.  Come on, please."
645,"You have exceptional muscle tone there, young man."
646,"When'd you go through puberty Like, at seven or something"
647,"You look like you're in your mid20s, for crying out loud."
648,"McQuaid, huh Doug McQuaid."
649,I read your file.
650,"You got a lot of something special going on there, young man."
651,"What the hell was that God damn it, son"
652,"Don't ever raise your hand to me like that again, all right"
653,I consider that a threat.
654,I was just saying that I'm Doug.
655,"I'm Doug McQuaid. See, that's Brad."
656,That's Brad.
657,You're the new kid who's All County in track
658,"Yes, I'm Doug McQuaid,"
659,"the track star, and this is Brad, the science prodigy."
660,He's really fast.
661,Is this funny to you guys
662,So you're Doug. You're Doug. You're Doug.
663,You're Doug. You're Doug.
664,Here's the deal.
665,My track team is full of physically incapable rejects.
666,"I mean, if I wasn't the coach, I'd be laughing my ass off"
667,"at how spastic they are, but I am the coach,"
668,so I need you.
669,I need me some Doug McQuaid.
670,Understand
671,I need you to run anchor on the 4X400 at today's track meet.
672,"You do that, and I'll sign this pass."
673,"Don't blow on me, son."
674,I haven't trained.
675,"Guys, don't make me take you to the principal's office."
676,Do we have a deal
677,Yes.
678,Nice.
679,I don't like that. Put your tongue back in your mouth.
680,"Put your tongue in your mouth, and close it."
681,What are you doing Stop it.
682,"Actually, that's not bad."
683,"All right, here you go."
684,Are you guys on drugs
685,Okay.
686,One particle of Unobtainium has a nuclear reaction with a flux capacitor.
687,"Carry the two, changing its atomic isotoner into a radioactive spider."
688,"Fuck you, science"
689,"All right, all right, we're good."
690,"We're good. We're good, man. We're good."
691,"We're good, baby."
692,Good work. Hit that shit.
693,I've gotta crow.
694,I'm just the cleverest fellow
695,'Twas ever my fortune to know.
696,I taught a trick to my shadow.
697,To stick to the tip of my toe.
698,I've gotta crow.
699,I've gotta.
700,Crow
701,"Christoph, did you feel that"
702,Who are you
703,"Welcome aboard, Peter."
704,"No, keep it going"
705,Keep it going. That was so tight
706,"No, no, no, keep it going. Keep it going."
707,"All right, let's go, McQuaid"
708,All right Yeah
709,"I like it I like the confidence, son"
710,I know y'all seen this shit before.
711,I know you've seen this shit before.
712,Huge lead Huge lead We got this. All right.
713,You're looking amped
714,Here we go.
715,Here we go Here we go
716,"Hey, pick it up"
717,"Hey, no, McQuaid, pick it up. What are you doing"
718,What are you doing Pick it
719,What McQuaid
720,"Don't throw the baton, you jackass"
721,Come on
722,McQuaid
723,Run that way
724,"Spike that Fuck you, Miles Davis"
725,"Let's go, God damn it Let's do this"
726,Let's go Come on
727,"Oh, my God."
728,"No, no."
729,"No, stop."
730,Come here. Come here.
731,Don't make a
732,That is a baton penis.
733,Speak of the devil
734,"Dude, that was awesome how you sabotaged that track meet, man."
735,Organized sports are so fascist. It makes me sick.
736,That's just what I do.
737,"Okay. Shit, man. See you around, all right"
738,I don't get this school.
739,That was awesome.
740,"Okay, so we stayed up all night making this."
741,It's awesome. You're really going to like it.
742,All yarn work was done by Jenko.
743,"Okay, Captain, look, the dealers are the popular kids,"
744,but they're not normal popular.
745,They're these crunchy granola dudes that have convinced everyone
746,"that they're cool, and they're not cool."
747,"It's backwards and unnatural, and it's got to be stopped."
748,"Lead dealer, Eric Molson. Alpha dog."
749,"Sick chicks, killer steeze."
750,Did the AIDS run this year.
751,"He's getting into Berkeley, early admish,"
752,and he totally gets me.
753,Who put this together Are you autistic
754,"It is artistic, sir, because the thing is,"
755, the yarn actually indicates  We're compiling a list
756,of suspicious types at school. The users are here.
757,This kid was actually talking to a tree this morning.
758,Cut the bullshit
759,I want to know who's the supplier.
760,We don't know. That's why there's a question mark on his face.
761,That's not the way his face looks. That's just a question mark.
762,"Infiltrate the dealers, find the supplier."
763,Simple.
764,Sounds like you guys really cracked the whole case.
765,Great job. You guys are on fire.
766, So proud.  Like you could do any better
767,We just brought down a group of wannabe thugs
768,stripping down cars in the Garfield High metal shop.
769," What  Meanwhile, you two were standing around"
770,fingerpopping each ether's assholes.
771,We're not fingerpopping each ether's assholes.
772,What we're doing is getting shit done.
773,"Yeah, as a matter of fact,"
774,I'm about to infiltrate a super hightech
775,drug manufacturing ring in the chemistry classroom.
776, Password  Open the door
777, You have to say the password.  I'm sorry. What
778,What are you
779,Geez.
780,What are y'all doing How'd you get a key in here
781,"Ms. Griggs gave us one so we could work, tutor, deal Bakugan."
782,Bakugan You dealing drugs
783, Let me see. You dealing drugs  No.
784,"It's just a card game. It's, like, a hybrid card game."
785, See They open up.  Battle Brawlers.
786, You're not doing anything illegal  No.
787, What are you doing in here  I'm here to study.
788,"Good. You could use it. You're pretty far behind, so"
789,You're behind. I'm ahead.
790, I know everything.  Really
791,What's a covalent bond
792,"Fuck you, man. I don't need to tell you."
793,I wasn't trying to be rude. Sorry.
794,I just I don't think you know everything.
795,I know everything.
796,Okay.
797,What kind of bullshit do they say about a covalent bond in this school
798,They say it's when two atoms share both their electrons.
799,It helps them to stick together.
800,"I could help you out if you want, tutor you for the test."
801,What are you doing with all those phones anyway
802,I crack and jailbreak kids' phones to try and save for college.
803,"You know, I switch their wireless carriers, get them restricted apps."
804,Can you listen in on phone calls and stuff
805,"No, no, I can't install a spyware to remotely monitor calls"
806,or anything that the mic picks up.
807," I can't do that at all.  Wait, you can't do it"
808,"No, I can't."
809, Is he being sarcastic  I don't know.
810,So you can.
811,Liking comic books is popular.
812,"Environmental awareness, being tolerant."
813,"If I was just born 10 years later, I would have been the coolest person ever."
814,I know. It's bullshit.
815,You know what
816,I totally know the cause.
817,"Glee. Fuck you, Glee."
818,"Man, I got to say, this is kind of awesome."
819,I might become popular. I might get in with the popular kids.
820,We just have to do something wildly irresponsible to earn their trust.
821,You saying we should throw a party
822,"I'll invite Molly, and then Molly will invite Eric,"
823,and that'll be the quickest way for me to bro down with him.
824,Wouldn't it be better if we both infiltrated the cool kids' group
825,I think it would be better if you get in
826,with the nerdy kids and see what's going on over there.
827,That'd be the best thing for the case.
828,"Yeah. I mean, I guess that makes sense."
829, Hello  Hey. Is this Molly
830,Speaking.
831,Hey. It's Schmidt.
832,It's Doug Schmug McQuaid.
833,"Hey, man."
834,It's so weird that you're calling me.
835,I pretty much text except for when a random old relative calls.
836,"I was just calling 'cause we're costarring in this play together,"
837, and.  Hello.
838,"Mom, get off the phone"
839,"Sorry, Doug,"
840, my teen son.  Mom
841,"I love you, honey, Dougie, Doug, Douglas McQuaid."
842,"Mom, so serious right now Stop"
843,I'm sorry. My mom's such a dick.
844,"She just, like, smothers me with affection and makes me feel like I'm five years old."
845,Wow. You're a sharer. I dig that.
846,"Well, I'm 18 years old, and my mom still packs a lunch for me every day."
