,sentence
258,I'm gonna light his hair like Michael Jackson
259,Hold him
260,"Get off me, get off me"
261,Help
262,Help
263,"Okay, new kid."
264,This is why us locals call this the kissing bridge
265,It's for two things: sucking face
266,and cutting names.
267,"Henry, please."
268,Stop Henry
269,Shut up
270,I'm gonna carve my whole name into his cottage cheese
271,I'm gonna cut your fucking tits off. I swear to god
272,Get him
273,Come on
274,Get him
275,You can't run
276, No.  We must find the fatso.
277,My knife. My old man will kill me
278,". You two, get him  Come on"
279,Move your fucking ass
280,Go that way
281,He's down there.
282,I don't know. I guess.
283,That's poison ivy. And that's poison ivy.
284,And that's poison ivy.
285,Where Where's the poison ivy
286,"No where, not every fucking plant is poison ivy, Stanley."
287,Ok well I'm starting to get itchy now and I'm pretty sure this is not good for me
288,Do you use the same bathroom as your mother
289,"Sometimes, yeah."
290,Then you probably have crabs.
291,That's not funny.
292,Aren't you guys coming in
293,Uhuh that's gray water.
294,What the hell is gray water
295,It's basically piss and shit. So I'm just telling you
296,You guys are splashing around in millions of gallons of Derry pee.
297,"Are, are you serious"
298,"Doesn't smell like caca to me, Senor"
299,Oookay I can smell it from here.
300,It's probably just your breath wafting back into your face
301,Have you ever heard of a staph infection
302,"I'll show you a ""staff"" infection."
303,That's so unsanitary. These
304,you guys are like swimming in a toilet bowl right now
305,Have you ever heard of listeria
306,Are you retarded
307,You're the reason we're in this situation
308,Guys
309,Shit. Don't tell me that's 
310,No.
311,Georgie was wearing galoshes.
312,Who's sneaker is it
313,It's Betty Ripsoms.
314,Shit
315,"Shit, oh god, oh fuck"
316,I don't like this
317,"How do you think Betty feels,"
318,going around these tunnels with only one fucking shoe.
319,What if she's still here
320,"Eddie, come on"
321,My mom will have an aneurysm if she finds out we were playing down here.
322,I'm serious.
323,Bill
324,"If I were Betty Ripsom, I would want us to find me."
325,Georgie too.
326,What if I don't want to find them
327,"I mean, no offense, Bill, but I do not want to end up like "
328,I don't want to go missing either
329, You're right.  You too
330,"It's summer,"
331,we're supposed to be having fun.
332,This isn't funny.
333,This is scary and disgusting
334,"Holy shit, what happened to you"
335,"I hear you, tits."
336,Don't think you can stay down here all damn day
337,"(whispering) You found us, Patrick."
338,"You found us, Patrick"
339,Patrick.
340,Shit.
341,I think it's great that we're helping the new kid
342,but we also need to think about our own safety.
343,"I mean, he's bleeding all over"
344,and you guys know there's an AIDS epidemic happening right now as we speak
345,I mean my mom's friend in New York City got it just by touching a dirty pole in the subway
346,"and she got AIDS blood into her system through a hangnail, a hangnail"
347,And they can amputate legs and arms.
348,But how do you amputate waist
349,"You know that there are alleys full of AIDS infected needles, right"
350,You. Know that.
351,We're dead.
352,"Richie, wait here. Come on."
353,Glad I got to meet you before you died.
354,Good.
355,Can we afford that
356,It's all we got.
357,You kidding me
358,"Wait, you have an account here don't you"
359,If my mom finds out I bought all this stuff for myself
360,I'll spend the whole rest of the week in the emergency room.
361,"See you later, dad."
362,"See ya, Greta."
363,You okay
364,"I'm fine, what's wrong with you"
365,None of your business.
366,New kid outside looks like someone killed him.
367,We need some ssssupplies
368,but we don't have enough money.
369,"I like your glasses, Mr. Keene"
370,You look just like Clark Kent.
371,I don't know about that.
372,Can I try them on
373,Sure.
374,What do you think
375,"Well how about that,"
376,you look just like Lois Lane.
377,Really
378,"Well, here you go."
379,"Shoot, I'm so sorry. It's okay."
380,Just suck the wound.
381,I need to focus right now. You need to focus
382,"Yeah, can you go get me something"
383,"Jesus. Oh, what do you need"
384,"Go get my bifocals, they're in my second fanny pack."
385,Why do you have two fanny pack
386,"I need to focus right now, it's a long story."
387,I don't want to hear it.
388,"uhmm, thththanks."
389,Even Steven.
390,"Oh god, he's bleeding."
391,"Oh my god, Ben from Soc"
392,You have to suck the wound before you apply the bandage.
393, It's basic.  What are you talking about
394,"Are you okay, that looks like it hurts."
395,"No, I'm good. I just fell."
396,"Yeah, right into Henry Bowers."
397,"Shut it, RRRichie"
398,Why It's the truth.
399,"You sure they got ""The Right Stuff"" to fix you up"
400,You know wwwwwe'll take care of him.
401,"Thanks again, Beverly."
402,"Sure, maybe I'll see you around."
403,"Yeah, we were maybe thinking about going to the qqqquarry tomorrow,"
404,if you wanna
405,come
406,Good to Know. Thanks.
407,"Nice going, bringing up Bowers in front of her."
408,"Yeah, did you hear what she did"
409,What'd she do
410,"Well, from what"
411,I heard that the list is longer than my wang.
412,That's not saying much.
413,They're jjjust rumors.
414,"Anyway, Bill had her back in third grade."
415,They kissed in the school play.
416,The reviews said that you can't fake that kind of passion.
417,"Now, pip pip and tallyho my good fellows,"
418,I do believe this chap requires our utmost attention.
419,Now get in there Dr. K and fix him up
420,"Why don't you shut the fuck up, Einstein, because I know what I'm doing"
421,and I don't want you doing the British guy.
422,Suck the wound. Get in there.
423,toilet and tub water travels down drains into sewers.
424,Culverts are fun to play with all your friends.
425,Just keep the water into drains and sewers reach.
426,"When you are there with friends, you can have fun like a clown"
427,"That's right, it is the word of the day."
428,Hi daddy.
429,Hey Bevvie
430,What you got there
431,Just some things.
432,Like what
433,Tell me you're still my little girl.
434,Yes daddy.
435,Good.
436,A high ball to the left. His last batting.
437,He brushed the post.
438,"Wade Booggs, of course, leads the league in such long shots."
439,This is what you did. This is what
440,Do it
441,Oh my god
442, Piece of cake.  Poor tree.
443,So easy
444,"Oh my god, that was terrible. I win."
445,You won Yeah
446,"You see my loogie, it went the farthest."
447,It's about distance. It's mass.
448,What is mass
449,It doesn't matter how far it goes.
450,"It's how cool it looks, and it's green or it's white."
451,Alright.
452,Who's first
453,I'll go.
454,Sissies
455,What the fuck
456,"Ahhh, holy shit, we just got shown off by a girl."
457,We have to do that now
458,Yes.
459,Come on
460,Oh shit
461,I already won Already we won
462,They fell Yes
463,"Oh,shit Wwwwait, wait, wait."
464, Ah fuck What was that  It just touched my foot.
465,Does that work
466, Where  Here.
467,It's a turtle.
468,"News flash, Ben, School's out for summa"
469,"Oh that, that's not school stuff."
470, Who sent you this  No one.
471,No one.
472,What's with the history project
473,"Oh well, when I first moved here, I really didn't have anyone to hang out with"
474,so I just started spending time in the library.
475,You went to the library
476,On purpose
477,I wanna see.
478,What's the Black Spot
479,The Black Spot was a nightclub that was burned down years ago by
480,that racist cult.
481,The what
482,Don't you watch Geraldo
483,Yyyyyour hair
484,Your hair looks beautiful. Beverly.
485,"Oh, hey thanks."
486,"Here, pass."
487,Why's it all murders and missing kids
488,Derry's not like any town I've ever been in before
489,They did a study once 
490,it turns out people die or disappear six times the national average.
491,You read that
492,Not just grownups
493,Kids are like worse
494,"way, way worse."
495,"I've got more stuff, if you want to see it."
496,"Do not freak out, just tell us."
497,Yes. I heard he has a roller coaster and a chimpanzee 
498,and the bones of an old man. Yes.
499,Heavens.
500,"Woah, woah, woah, wow"
501,"Cool, huh"
502,"No, nothing cool."
503,There's nothing cool.
504,"Well this is cool, wait, no it's not."
505,What's that
506,That That's the charter for Derry Township
507,Nerd alert.
508,"Actually, it's really interesting."
509,Derry started as a beaver trapping camp.
510,"Still is, am I right, boys"
511,Ninetyone people signed the charter that made Derry.
512,"But later that winter, they all disappeared without a trace."
513,The entire camp
514,There were rumors of Indians
515,but no sign of an attack.
516,Everyone thought it was a plague or something.
517,But it's like 
518,one day everybody just woke up and left.
519,The only clue was a trail of clothes leading to the wellhouse.
520,"Jesus, we can go on ""Unsolved Mysteries"""
521, Let's do it. You are brilliant.  Maybe.
522,I don't know.
523,"Maybe he's  just trying to make friends, Stanley."
524,Where was the well house
525,"I don't know, somewhere in town, I guess."
526,Why
527,Nothing.
528,Nobody knows the trouble I've seen no one knows my pain
529,Eddie
530,What are you looking for
531,Fuck. My mom will kill me.
532,"Do you think this will help me, Eddie"
533,Help
534,"Where are you going, Eds"
535,"If you lived here, you'd be home right now."
536,"Come join the clown, Eds."
537,You'll float down here.
538,"We all float down here,"
539,yes we do.
540,"""Your hair is winter fire "
541,"""January embers"""
542,"""My heart burns there too."""
543,Beverly
544,Beverly.
545,Help me.
546,Please help me.
547,"We all want to meet you, Beverly."
548,All we float down here.
549,Hello Who you are
550, I'm Veronica.  Betty Rapsom.
551,Patrick Hockstetter.
552,Come closer.
553, You want to see  We float.
554,We changed.
555,Daddy
556,Help
557,Help
558,What the hell's goin' on
559,The sink
560,"There's blood, it's"
561,What blood
562,"The sink, you don't see it"
563,There was blood.
564,"You worry me, Bevvie."
565,You worry me a lot.
566,But you don't see
567,Why'd you do this to your hair
568,Makes you look like a boy.
569,"I lost it, Billy. Don't be mad."
570,I'm not mad at you.
571,Just floated off.
572,"But, Bill, if you come with me "
573,You'll float too.
574,Georgie.
575,You'll float too
576,You'll float too
577,You'll float too
578,You'll float too
579,You'll float too
580,You'll float too
581,You'll float too
582,You'll float too
583,You'll float too
584,We must not go down the alley.
585, It takes a lot down the alley.  No. is faster.
586,It is more dangerous and unpleasant.
587, What do you mean it's more dangerous  It smells of urine and is disgusting.
588,All right. Can you tell me exactly what she said
589,Just you guys need to hurry over.
590, Good.  Good.
591,You came.
592,II need to show you something.
593,What is it
594,More than we saw at the quarry
595,"Shut up Just shut up, Richie."
596,My dad will kill me if he finds out that I had boys in the apartment.
597,Wwwwwe'll leave a lookout.
598,"Now Richie, just stay here."
599,"Woah, woah, woah, what if her dad comes back"
600,Do what you always do. Start talking.
601,It is a gift.
602,In there
603,What is it
604,You'll see.
605,"Great, bringing us to the bathroom."
606,You know that 89% of the worse accidents
607,occur in the bathroom and kitchen
608,And that's where all the bacteria and fungi are 
609,and it is not a hygienic place 
610,I knew it
611,Do you see it
612,Yes.
613,What happened in here
614,"My dad couldn't see it, I thought that I might be crazy."
615,"Well if you're crazy, then we're all crazy."
616,We ccccan't leave it like this.
617,You never went to the Summer Fair Derry
618,"No, I think not."
619,That I know.
620,I go every year 
621,but once I went with Richie and I won because I hit the target.
622,But there were so many prizes I didn't know which one to choose.
623,"It's not true, you know"
624,What they say about me.
625,I was only ever kissed by one guy.
626,It was a long time ago.
627,But it was a nice kiss though.
628,"""January embers"""
629,Wwwwwas that in the play
630,"No, the poem."
631,"Oh, I really don't read much pppoetry."
632,"Oh I just,"
633,never mind.
634,"Oh, just so you know,"
635,I never believed any of the rumors.
636,None of us losers do.
637,We like hanging with you.
638,Thanks.
639,You should not thank us too much
640,hanging out with us makes you a loser too.
641,I can take that.
642,"No, I love being your personal doorman."
643,Really could you idiots have taken any longer
644," Shut up, Richie.  Yeah, shut up, Richie."
645,"Oh okay, trash the trashmouth, I get it."
646,Hey I wasn't the one scrubbing the bathroom floor
647,imagining that her sink went all Eddie's mom's vagina on halloween.
648,She didn't imagine.
649,I also saw something too.
650,"You saw blood, too"
651,"Not blood,"
652,I saw GgGeorgie.
653,"It seemed so real,"
654,I mean it seemed like him but there was this
655,A clown.
656,"Yeah, I saw him too."
657,"Wait, can only virgins see this stuff"
658,Is that why I'm not. seeing this shit
659,"Oh shit, that's Belch Huggins car."
660,"We, we should probably get outta here. yes"
661,Wait isn't that the home schooled kids bike
662,"Yeah, that's Mikes."
663,We have to help him.
664,We should
665,Yes.
666,Come on.
667,Take that
668," Take that, bitch  Damn fool"
669, Bitch  Motherfucker
670, Take that bitch
671,Damned
672,What are you going to do
673,Get up
674,Raise that ass
675,Fucking idiot
676,"Come on, Henry, do it harder"
677,Times.
678,Nice throw. Thanks.
679,You losers are trying too hard.
680,"She'll do you,"
681,You just gotta ask nicely
682,like I did.
683,The fuck
684,"Come on, get him"
685,ROCK WAR
686, Give them hard  Watch out
687,"Drop dead, you fuckers."
688,Eddie
689,Get out of here
690,Shit
691,(slowly) FUCK YOU BITCH
692,Come on guys  Harder
693,"Go to the hell, losers"
694,"GO BLOW YOUR DAD, YOU MULLETWEARING ASSHOLE"
695,"Thanks guys, but you shouldn't have done that,"
696,he'll be after you guys too now.
697,"Ah, now Bowers, he's always after us."
698,I guess that's one thththing we all have in common.
699,"Yes son, welcome to the loser's club."
700,Here.
701,They said they found part of his hand all chewed up near the standpipe.
702,He asked to borrow a pencil once.
703,It's like she's been fffforgotten
704,because Corcoran's missing.
705,Is it ever gonna end
706,"What the fuck, dude"
707,What are you guys talking about
708,What they always talk about.
709,"I actually think it will end,"
710,"for a little while, at least."
711,What do you mean
712,So I was going over all of my data research
713,and I charted out all of the big events
714,The Ironworks explosion in 1908
715,The Bradley Gang in '35
716,and The Black Spot in '62.
717,And now the kids being
718,I realized that this stuff seems to happen
719,(Bill and Ben) every 27 years.
720,Ok so let me get this straight
721,IT comes out from wherever to eat kids for like a year
722,and then what IT just goes into hibernation
723,Maybe it's like  What do you call it
724,Cicadas.
725,"You know, the bugs that come out once every 17 years."
726,My grandfather thinks this town is cursed
727,He says
728,that all the bad things that happened in this town
729,are because of one thing
730,An evil thing that feeds off the people of Derry.
731,But it can't be one thing.
732,We all saw something different.
733,Maybe
734,Or maybe IT knows what scares us most and that's what we see.
735,II saw a leper.
736,He was like a walking infection.
737,But you didn't
738,Because IT isn't real.
739,None of this is.
740,Not Eddie's leper
741,or Bill seeing Georgie
742,or the woman I keep seeing.
743,Is she hot
744,No. Richie.
745,She's not hot
746,Her face is all messed up.
747,None of this makes any sense.
748,They're all like bad dreams.
749,"I don't think so, I know the difference between a bad dream and real life, okay"
750,What did you see You saw something too
751,Yes.
752,You guys know that burnt down house on Harris Avenue
753,I was inside when it burned down
754,Before I rescued 
755,my mom and dad were trapped in the next room over from me.
756,They were pushing and pounding on the door
757,trying to get to me.
758,"Hurry up, son"
759,I'm burning
760,But it was too hot
761,When firefighters found them
762,the skin on their hands melted down to the bone.
763,We're all afraid of something.
764,got that right.
765,Why Rich What are you afraid of
766,Clowns.
767,Okay.
768,Look.
769,Storm drain
770,"That's were Georgie disappeared,"
771,"there's the Ironworks,"
772,and the Black Spot.
773,Everywhere IT happens it'sit's all connected by the sewers
774,and they all meet up at the
775,(Ben) the wellhouse.
776,You mean the house on Neibolt Street
777,You mean the creepyass house where all the junkies and hobos like to sleep
778,I hate that place.
779,Always feels like it's watching me.
780,That's where I saw IT
781,There I saw a clown.
782,Thathathathat's where IT lives.
783,I can't imagine anything ever wanting to live there.
784,Can we stop talking about this
785,I can barely breathe
786,It's summer.
787,"we're kids, I can barely breathe"
788,having a fucking asthma attack
789,and fuck doing this.
790,What the hell Put the map back
791,What happened
792,What's going on
793,"I don't know, look"
794,guys
795,Georgie.
796,Bill
797,WHAT THE FUCK
798,It's IT
799,WHAT THE FUCK IS THAT
800,I DON'T FUCKING KNOW
801,Turn it off
802,"Yes, Turn it off"
803,"Run, Stanley"
804,What is that
805,What's up
806,"Thanks, Ben."
807,IT saw us
808,IT saw us and It knows where we are.
809,IT always knew.
810,"Alright Stan, so let's go."
811,Go
812,Go where
813,Neibolt.
814,That's where GggGeorgie is.
815,After that
816,"Yeah, it's summer, we should be outside"
817,If you say it's summer one more ffffucking time
818,Bill
819,Wait
820,"""He tttthrusts his fists"
821,"""Against the pppost"""
822,"""and still insists he sees the gggghost"""
823,Bill
824,"Bill, you can't go in there."
825,This is crazy.
826,"Look, you don't have to come in with me,"
827,"but what happens when another Georgie goes missing,"
828,or another Betty or another Ed Corcoran or one of us
829,Are you just going to pretend it didn't happen like everyone else in this town
830,Because I can't.
831,"I go home and all I see is that Georgie isn't there,"
832,"his clothes, his toys, his stupid stuffed animals"
833,but he isn't.
834,So walking into this house
835,for me
836,it's easier that walking into my own.
837,Wow.
838,What
839,He didn't stutter once.
840,Wait
841,"Uhhh, shouldn't we have some people keep watch,"
842,just in case something bad happens
843,Whwhwhwho wants to stay out here
844,Fuck.
845,I can't believe i pulled the short straw
846,you guys are lucky you're not measuring dicks.
847,"Shut up, Richie."
848,I can smell that.
849,Don't breathe through your mouth.
850,Home come
851,Cause then you're eating it. (Eddie retching)
852,What
853,"It, it says I'm missing."
854,"Yyyyou're not missing, Richie."
855,"Then why's it say it there, it's my shirt, that's my hair, that's my face"
856,"Calm down, this isn't real."
857,"That's my name, that's my age, that's the date"
858,"This isn't real, Richie"
859,What the fuck It says I'm missing.
860, Am I missing Will I disappear  Take it easy.
861,"Look at me, Richie. Look at me."
862,This isn't real.
863,IT's playing tricks on you.
864,Hello
865,Hello
866,Help me please
867,Betty
868,Ripsom
869,Eddie
870,What are you looking for
871,"Guys, do you hear that"
872,"She was just here, where the fuck did she go"
873,Guys
874,Guys
875,Guys Eddie
876,What the fuck
877,"Time to take your pill, Eddie."
878, Eddie. Open the door  Richie.
879,Are you okay
880,"Eddie, what's going on"
881,Eds.
882,Eddie.
883,Hiya Richie.
884,Eddie.
885,Eddie.
886,Eddie.
887,Where the fuck are you
888,"We're not playing hide and seek, dipshit."
889,Richie
890,Richie
891,"Bill, open the door."
892,It won't open.
893, What's going on Richie  I can't
894,"Open the door, Rich."
895,Oh shit.
896,Stupid clowns.
897,Oh fuck.
898,"Beepbeep, Richie."
899,Let's get out of here.
900,You wanna play loogie
901,Time to float.
902,Where's my shoe
903,Where the fuck were her legs
904,What about that
905,This isn't real.
906,Remember the missing kid poster
907,"that wasn't real, so this isn't real"
908,"Tasty, tasty, beautiful fear."
909,Come on. Ready
910,No.
911,No.
912,No
913,Oh thank fuck.
914,Where's Eddie
915,Help
916,Eddie
917,Oh fuck.
918,Eddie
919,"This isn't real enough for you, Billy"
920,I'm not real enough for you
921,Holy shit
922,It was real enough for Georgie.
923,Get Eddie Get Eddie
924,Whoops Let's get outta here.
925,Go for Eddie. Come on
926,"Guys, watch out"
927,"Don't Eddie, look at me"
928,Guys
929,No
930, I  I
931,Let's get outta here
932,Let's get outta here
933,"Bill, we have to help Eddie."
934,"Nooooo, Nooooo"
935, I put the arm in place.  Don't fucking touch me
936," Well, one, two, three.  Don't fucking touch me"
937,Shit
938,"You, you did this,"
939,You know how delicate he is.
940,"We were attacked, Mrs. K"
941,"No, don't, don't try to blame anyone else"
942,Let me Get back
943,"Oh, I've heard of you Miss Marsh"
944,and I don't want a dirty girl like you touching my Eddie.
945,"Ms. K, I "
946,"No, you are all monsters, all of you,"
947,"Now Eddie's done with you, you hear, done"
948,I saw the well
949,Wwwwwe know where it is
950,and next time we'll be better prepared.
951,NO
952,"No next time, Bill."
953,You're insane.
954,Why We all know nobody else is going to do anything
955,"Eddie was nearly killed and look at this motherfucker,"
956,he's leaking hamburger helper.
957,We can't pretend it's going to go away
958,"Ben, you said yourself it comes back every 27 years."
959,Fine I'll be 40 and far away from here.
960,I thought you said you wanted to get out of this town too.
961,"Because I want to run towards something, not away."
962,I'm sorry but who invited Molly Ringwald into the group
963," Richie   I'm just saying, lets face facts"
964,real world
965,"Georgie is dead, stop trying to get us killed too."
966,Georgie's not dead.
967,You couldn't save him but you could still save yourself.
968,"No Ttttake it back,"
969,you're scared and we all are but take it back.
970,Bill
971,You're such a loser.
972," Richie, just."
973,"You're a bunch of losers, get us all killed"
974, while trying to catch a clown.  Stop
975,"This is what IT wants,"
976,IT wants to divide us.
977,"When we're all together, when we heard it, that's why we're still alive."
978,"Yeah, well I plan to keep it that way."
979, Mike   Guys 
980,I can't do this.
981,My granddad was right.
982,"I'm an outsider, gotta stay that way."
983,"Yeah, there we go."
984,Put the next target there.
985,Just hold it.
986,What the hells going on here
987,"Cleaning your gun, like you asked."
988,"You're cleaning my gun, huh"
989, Dad   Hey
990,"Look at him now, boys."
991,Ain't nothing like a little fear that'll make a paper man crumble.
992,"Here for the refills, Eddie"
993,Yeah.
994,"You know it's all bullshit, right"
995,What is
996,"Your medication,"
997,they're placebos.
998,"What's ""paceebo"" mean"
999,Placebo means bullshit.
1000,"No friends, huh"
1001,Your cast
1002,No signatures or anything
1003,So sad.
1004,I don't want it to get dirty.
1005,"Oh, I'll sign it for ya."
1006,"You okay, Henry"
1007,My most favorite part of the afternoon is
1008,Learn all about many of you.
1009,Is there anything you want to share
1010, what most they enjoyed today
1011,How about you
1012,I enjoyed seeing the clown.
1013,Really Would you like to see the clown
1014,Yes
1015,What about it anyway
1016,I liked the bubbles floating.
1017,Really Me too.
1018,I love seeing things float.
1019,All float.
1020,"We all float,"
1021,"and you will too, Henry."
1022,Make it a wonderful day.
1023,Kill him.
1024,Kill him.
1025,Kill him.
1026,Kill him.
1027,"Oh no, give him a big round of applause."
1028,"Well done, Henry."
1029,Kill them all.
1030,Kill them all
1031,Kill them all
1032,Kill them all (chanting)
1033,Where are you sneaking off to
1034,"Nonowhere, Daddy."
1035,You look prettied up.
1036,"I'm not prettied up, daddy. I wear this almost every day."
1037,Come here.
1038,You know I worry about you Bevvie.
1039,I know.
1040,People in town have been saying some things to me about you.
1041,Sneaking around all summer ling with a bunch of boy.
1042,Only girl in the pack.
1043,"They're just friends, I swear."
1044,I know what's in boys minds when they look at you Bevvie.
1045,I know it all too well.
1046,My hand
1047,Are you doing womanly things down in the woods with those boys
