Timecode List:,00:00:01.293,00:00:35.536,00:02:35.197,00:03:07.938,00:03:12.901,00:03:24.246,00:03:33.589,00:03:37.551,00:03:42.014,00:03:43.056,00:03:44.224,00:03:52.816,00:03:53.525,00:03:54.193,00:03:57.237,00:08:49.738,00:09:30.362,00:22:56.543,00:23:03.884,00:27:24.853,00:27:26.688,00:27:27.606,00:27:32.444,00:28:05.477,00:28:06.144,00:28:07.896,00:28:08.522,00:28:09.565,00:28:13.068,00:28:13.652,00:31:25.886,00:31:36.355,00:34:26.859,00:34:35.617,00:34:39.705,00:34:45.043,00:34:54.845,00:34:57.139,00:34:58.140,00:35:02.060,00:35:09.067,00:35:09.693,00:35:10.652,00:35:14.615,00:35:18.577,00:35:22.706,00:35:25.542,00:35:31.298,00:35:35.969,00:35:38.805,00:35:39.848,00:35:50.817,00:52:30.442,00:52:56.093,00:55:46.263,00:57:09.972,00:57:16.770,00:57:20.941,00:58:02.608,00:58:09.907,00:58:10.657,00:58:16.121,00:58:28.217,00:58:28.884,00:58:29.635,00:58:44.399,00:58:50.113,00:58:54.785,00:59:15.222,00:59:17.558,00:59:19.935,00:59:25.899,01:13:14.770,01:13:15.604,01:13:16.438,01:13:17.064,01:13:17.773,01:13:35.958,01:13:42.422,01:13:44.633,01:13:46.760,01:13:51.473,01:13:54.184,01:13:55.477,01:13:56.895,01:13:58.272,01:13:59.565,01:14:00.607,01:14:01.942,01:14:03.068,01:19:31.522,01:19:33.315,01:19:56.672,01:20:06.098,01:20:12.354,01:20:22.823,01:20:26.201,01:20:28.579,01:20:41.550,01:20:57.357,01:21:00.194,01:21:02.946,01:21:06.283,01:21:11.830,01:21:15.167,01:21:16.793,01:21:17.461,01:21:19.046,01:21:19.713,01:21:20.631,01:21:23.467,01:21:24.301,01:21:26.011,01:21:28.180,01:21:29.181,01:21:29.765,01:21:31.725,01:21:33.310,01:21:34.728,01:21:35.771,01:21:38.857,01:22:32.578,01:24:34.533,01:24:37.035,01:26:14.883,01:26:28.647,01:29:48.388,01:41:55.032,01:42:46.834,01:44:05.037,01:44:12.336,01:44:14.505,01:44:47.329,01:44:47.996,01:44:48.664,01:44:49.331,01:44:49.998,01:45:17.359,01:46:03.614,01:46:53.497,01:47:38.417,01:47:39.084,01:47:40.252,01:47:41.336,01:47:42.546,01:47:43.589,01:47:47.092,01:47:48.635,01:47:49.595,01:47:50.554,01:48:00.314,01:48:02.024,01:48:09.907,01:48:13.035,01:48:14.536,01:48:21.418,01:48:24.213,01:48:41.230,01:48:50.697,01:48:58.747,01:49:00.165,01:49:01.917,01:49:15.013,01:49:16.807,01:49:17.266,01:49:18.058,01:49:19.017,01:49:20.978,01:49:21.770,01:49:23.480,01:49:25.399,01:49:26.358,01:49:29.945,01:49:31.071,01:49:33.490,01:49:34.366,01:49:37.286,01:49:37.911,01:49:38.871,01:49:46.003,01:49:47.671,01:49:51.800,01:49:52.509,01:49:53.093,01:49:58.015,01:50:04.021,01:50:16.575,01:50:22.289,01:50:50.526,01:50:53.529,01:51:00.452,01:51:03.705,01:51:05.207,01:51:07.626,01:51:08.544,01:51:10.546,01:51:15.801,01:51:22.307,01:51:22.891,01:51:38.866,01:51:53.130,01:52:12.399,01:52:13.400,01:52:14.651,01:52:18.071,01:52:20.908,01:52:26.413,01:52:28.290,01:52:32.628,01:52:41.678,01:52:42.387,01:52:44.890,01:52:57.778,01:56:36.955,01:56:54.765,01:56:55.724,01:56:56.391,01:57:33.053,01:57:45.607,01:57:59.913,01:58:01.039,01:58:02.457,01:58:03.292,01:58:06.670,02:00:05.873,02:00:11.503,02:00:44.661,02:00:49.625,02:00:50.584,02:02:20.924,02:03:07.554,02:04:03.151,02:08:56.653,02:09:22.095,02:09:51.083,02:09:51.750,02:09:52.501,02:09:53.168,02:09:54.169,02:09:55.337,02:09:56.088,02:09:56.797,02:09:57.965,02:10:11.353,02:10:12.020,02:10:12.771,02:10:18.610,02:10:24.157,02:10:25.158,02:10:25.993,02:10:26.618,02:10:27.369,02:10:27.995,02:10:28.620,02:10:29.371,02:10:30.205,02:10:35.460,02:10:40.966,02:10:41.425,02:10:42.676,02:10:43.343,02:10:44.011,02:10:46.555,02:10:48.891,02:10:50.559,02:10:59.318,02:11:00.235,02:11:01.236,02:11:01.904,02:11:02.696,02:11:15.751,02:11:32.351,02:11:36.563,02:11:37.231,02:11:37.940,02:11:38.690,02:11:39.441,02:11:40.317,02:11:40.943,02:11:41.610,02:11:42.236,02:11:45.781,02:11:46.406,02:11:47.074,02:11:47.699,02:11:48.659,02:11:50.244,02:11:51.411,02:11:57.501,02:12:02.714,02:12:03.340,02:12:04.341,02:12:05.551,02:12:06.176,02:12:06.844,02:12:07.553,02:12:08.762,02:12:11.598,02:12:14.101,02:12:16.979,02:12:19.565,02:12:20.232,02:12:21.108,02:12:22.150,02:12:22.860,02:12:23.527,02:12:32.494,02:12:33.161,02:12:35.455,02:12:38.208,02:12:39.334,02:12:53.599,02:12:55.309,02:12:57.728,02:13:05.986,02:13:12.868,02:13:23.086,02:13:30.469,02:13:52.699,02:13:53.325,02:13:53.992,02:13:59.790,02:14:06.964,02:14:08.340,02:14:15.556,02:14:21.854,02:14:31.947,02:14:36.285
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
57,82237,00:57:09.972,3429.972,82400,00:57:16.770,3436.770,163,00:00:06.798,6.798
58,82400,00:57:16.770,3436.770,82500,00:57:20.941,3440.941,100,00:00:04.171,4.171
59,82500,00:57:20.941,3440.941,83499,00:58:02.608,3482.608,999,00:00:41.667,41.667
60,83499,00:58:02.608,3482.608,83674,00:58:09.907,3489.907,175,00:00:07.299,7.299
61,83674,00:58:09.907,3489.907,83692,00:58:10.657,3490.657,18,00:00:00.751,0.751
62,83692,00:58:10.657,3490.657,83823,00:58:16.121,3496.121,131,00:00:05.464,5.464
63,83823,00:58:16.121,3496.121,84113,00:58:28.217,3508.217,290,00:00:12.095,12.095
64,84113,00:58:28.217,3508.217,84129,00:58:28.884,3508.884,16,00:00:00.667,0.667
65,84129,00:58:28.884,3508.884,84147,00:58:29.635,3509.635,18,00:00:00.751,0.751
66,84147,00:58:29.635,3509.635,84501,00:58:44.399,3524.399,354,00:00:14.765,14.765
67,84501,00:58:44.399,3524.399,84638,00:58:50.113,3530.113,137,00:00:05.714,5.714
68,84638,00:58:50.113,3530.113,84750,00:58:54.785,3534.785,112,00:00:04.671,4.671
69,84750,00:58:54.785,3534.785,85240,00:59:15.222,3555.222,490,00:00:20.437,20.437
70,85240,00:59:15.222,3555.222,85296,00:59:17.558,3557.558,56,00:00:02.336,2.336
71,85296,00:59:17.558,3557.558,85353,00:59:19.935,3559.935,57,00:00:02.377,2.377
72,85353,00:59:19.935,3559.935,85496,00:59:25.899,3565.899,143,00:00:05.964,5.964
73,85496,00:59:25.899,3565.899,105369,01:13:14.770,4394.770,19873,00:13:48.871,828.871
74,105369,01:13:14.770,4394.770,105389,01:13:15.604,4395.604,20,00:00:00.834,0.834
75,105389,01:13:15.604,4395.604,105409,01:13:16.438,4396.438,20,00:00:00.834,0.834
76,105409,01:13:16.438,4396.438,105424,01:13:17.064,4397.064,15,00:00:00.626,0.626
77,105424,01:13:17.064,4397.064,105441,01:13:17.773,4397.773,17,00:00:00.709,0.709
78,105441,01:13:17.773,4397.773,105877,01:13:35.958,4415.958,436,00:00:18.185,18.185
79,105877,01:13:35.958,4415.958,106032,01:13:42.422,4422.422,155,00:00:06.465,6.465
80,106032,01:13:42.422,4422.422,106085,01:13:44.633,4424.633,53,00:00:02.211,2.211
81,106085,01:13:44.633,4424.633,106136,01:13:46.760,4426.760,51,00:00:02.127,2.127
82,106136,01:13:46.760,4426.760,106249,01:13:51.473,4431.473,113,00:00:04.713,4.713
83,106249,01:13:51.473,4431.473,106314,01:13:54.184,4434.184,65,00:00:02.711,2.711
84,106314,01:13:54.184,4434.184,106345,01:13:55.477,4435.477,31,00:00:01.293,1.293
85,106345,01:13:55.477,4435.477,106379,01:13:56.895,4436.895,34,00:00:01.418,1.418
86,106379,01:13:56.895,4436.895,106412,01:13:58.272,4438.272,33,00:00:01.376,1.376
87,106412,01:13:58.272,4438.272,106443,01:13:59.565,4439.565,31,00:00:01.293,1.293
88,106443,01:13:59.565,4439.565,106468,01:14:00.607,4440.607,25,00:00:01.043,1.043
89,106468,01:14:00.607,4440.607,106500,01:14:01.942,4441.942,32,00:00:01.335,1.335
90,106500,01:14:01.942,4441.942,106527,01:14:03.068,4443.068,27,00:00:01.126,1.126
91,106527,01:14:03.068,4443.068,114402,01:19:31.522,4771.522,7875,00:05:28.453,328.453
92,114402,01:19:31.522,4771.522,114445,01:19:33.315,4773.315,43,00:00:01.793,1.793
93,114445,01:19:33.315,4773.315,115005,01:19:56.672,4796.672,560,00:00:23.357,23.357
94,115005,01:19:56.672,4796.672,115231,01:20:06.098,4806.098,226,00:00:09.426,9.426
95,115231,01:20:06.098,4806.098,115381,01:20:12.354,4812.354,150,00:00:06.256,6.256
96,115381,01:20:12.354,4812.354,115632,01:20:22.823,4822.823,251,00:00:10.469,10.469
97,115632,01:20:22.823,4822.823,115713,01:20:26.201,4826.201,81,00:00:03.378,3.378
98,115713,01:20:26.201,4826.201,115770,01:20:28.579,4828.579,57,00:00:02.377,2.377
99,115770,01:20:28.579,4828.579,116081,01:20:41.550,4841.550,311,00:00:12.971,12.971
100,116081,01:20:41.550,4841.550,116460,01:20:57.357,4857.357,379,00:00:15.807,15.807
101,116460,01:20:57.357,4857.357,116528,01:21:00.194,4860.194,68,00:00:02.836,2.836
102,116528,01:21:00.194,4860.194,116594,01:21:02.946,4862.946,66,00:00:02.753,2.753
103,116594,01:21:02.946,4862.946,116674,01:21:06.283,4866.283,80,00:00:03.337,3.337
104,116674,01:21:06.283,4866.283,116807,01:21:11.830,4871.830,133,00:00:05.547,5.547
105,116807,01:21:11.830,4871.830,116887,01:21:15.167,4875.167,80,00:00:03.337,3.337
106,116887,01:21:15.167,4875.167,116926,01:21:16.793,4876.793,39,00:00:01.627,1.627
107,116926,01:21:16.793,4876.793,116942,01:21:17.461,4877.461,16,00:00:00.667,0.667
108,116942,01:21:17.461,4877.461,116980,01:21:19.046,4879.046,38,00:00:01.585,1.585
109,116980,01:21:19.046,4879.046,116996,01:21:19.713,4879.713,16,00:00:00.667,0.667
110,116996,01:21:19.713,4879.713,117018,01:21:20.631,4880.631,22,00:00:00.918,0.918
111,117018,01:21:20.631,4880.631,117086,01:21:23.467,4883.467,68,00:00:02.836,2.836
112,117086,01:21:23.467,4883.467,117106,01:21:24.301,4884.301,20,00:00:00.834,0.834
113,117106,01:21:24.301,4884.301,117147,01:21:26.011,4886.011,41,00:00:01.710,1.710
114,117147,01:21:26.011,4886.011,117199,01:21:28.180,4888.180,52,00:00:02.169,2.169
115,117199,01:21:28.180,4888.180,117223,01:21:29.181,4889.181,24,00:00:01.001,1.001
116,117223,01:21:29.181,4889.181,117237,01:21:29.765,4889.765,14,00:00:00.584,0.584
117,117237,01:21:29.765,4889.765,117284,01:21:31.725,4891.725,47,00:00:01.960,1.960
118,117284,01:21:31.725,4891.725,117322,01:21:33.310,4893.310,38,00:00:01.585,1.585
119,117322,01:21:33.310,4893.310,117356,01:21:34.728,4894.728,34,00:00:01.418,1.418
120,117356,01:21:34.728,4894.728,117381,01:21:35.771,4895.771,25,00:00:01.043,1.043
121,117381,01:21:35.771,4895.771,117455,01:21:38.857,4898.857,74,00:00:03.086,3.086
122,117455,01:21:38.857,4898.857,118743,01:22:32.578,4952.578,1288,00:00:53.720,53.720
123,118743,01:22:32.578,4952.578,121667,01:24:34.533,5074.533,2924,00:02:01.955,121.955
124,121667,01:24:34.533,5074.533,121727,01:24:37.035,5077.035,60,00:00:02.503,2.503
125,121727,01:24:37.035,5077.035,124073,01:26:14.883,5174.883,2346,00:01:37.848,97.848
126,124073,01:26:14.883,5174.883,124403,01:26:28.647,5188.647,330,00:00:13.764,13.764
127,124403,01:26:28.647,5188.647,129192,01:29:48.388,5388.388,4789,00:03:19.741,199.741
128,129192,01:29:48.388,5388.388,146614,01:41:55.032,6115.032,17422,00:12:06.643,726.643
129,146614,01:41:55.032,6115.032,147856,01:42:46.834,6166.834,1242,00:00:51.802,51.802
130,147856,01:42:46.834,6166.834,149731,01:44:05.037,6245.037,1875,00:01:18.203,78.203
131,149731,01:44:05.037,6245.037,149906,01:44:12.336,6252.336,175,00:00:07.299,7.299
132,149906,01:44:12.336,6252.336,149958,01:44:14.505,6254.505,52,00:00:02.169,2.169
133,149958,01:44:14.505,6254.505,150745,01:44:47.329,6287.329,787,00:00:32.824,32.824
134,150745,01:44:47.329,6287.329,150761,01:44:47.996,6287.996,16,00:00:00.667,0.667
135,150761,01:44:47.996,6287.996,150777,01:44:48.664,6288.664,16,00:00:00.667,0.667
136,150777,01:44:48.664,6288.664,150793,01:44:49.331,6289.331,16,00:00:00.667,0.667
137,150793,01:44:49.331,6289.331,150809,01:44:49.998,6289.998,16,00:00:00.667,0.667
138,150809,01:44:49.998,6289.998,151465,01:45:17.359,6317.359,656,00:00:27.361,27.361
139,151465,01:45:17.359,6317.359,152574,01:46:03.614,6363.614,1109,00:00:46.255,46.255
140,152574,01:46:03.614,6363.614,153770,01:46:53.497,6413.497,1196,00:00:49.883,49.883
141,153770,01:46:53.497,6413.497,154847,01:47:38.417,6458.417,1077,00:00:44.920,44.920
142,154847,01:47:38.417,6458.417,154863,01:47:39.084,6459.084,16,00:00:00.667,0.667
143,154863,01:47:39.084,6459.084,154891,01:47:40.252,6460.252,28,00:00:01.168,1.168
144,154891,01:47:40.252,6460.252,154917,01:47:41.336,6461.336,26,00:00:01.084,1.084
145,154917,01:47:41.336,6461.336,154946,01:47:42.546,6462.546,29,00:00:01.210,1.210
146,154946,01:47:42.546,6462.546,154971,01:47:43.589,6463.589,25,00:00:01.043,1.043
147,154971,01:47:43.589,6463.589,155055,01:47:47.092,6467.092,84,00:00:03.504,3.504
148,155055,01:47:47.092,6467.092,155092,01:47:48.635,6468.635,37,00:00:01.543,1.543
149,155092,01:47:48.635,6468.635,155115,01:47:49.595,6469.595,23,00:00:00.959,0.959
150,155115,01:47:49.595,6469.595,155138,01:47:50.554,6470.554,23,00:00:00.959,0.959
151,155138,01:47:50.554,6470.554,155372,01:48:00.314,6480.314,234,00:00:09.760,9.760
152,155372,01:48:00.314,6480.314,155413,01:48:02.024,6482.024,41,00:00:01.710,1.710
153,155413,01:48:02.024,6482.024,155602,01:48:09.907,6489.907,189,00:00:07.883,7.883
154,155602,01:48:09.907,6489.907,155677,01:48:13.035,6493.035,75,00:00:03.128,3.128
155,155677,01:48:13.035,6493.035,155713,01:48:14.536,6494.536,36,00:00:01.502,1.502
156,155713,01:48:14.536,6494.536,155878,01:48:21.418,6501.418,165,00:00:06.882,6.882
157,155878,01:48:21.418,6501.418,155945,01:48:24.213,6504.213,67,00:00:02.794,2.794
158,155945,01:48:24.213,6504.213,156353,01:48:41.230,6521.230,408,00:00:17.017,17.017
159,156353,01:48:41.230,6521.230,156580,01:48:50.697,6530.697,227,00:00:09.468,9.468
160,156580,01:48:50.697,6530.697,156773,01:48:58.747,6538.747,193,00:00:08.050,8.050
161,156773,01:48:58.747,6538.747,156807,01:49:00.165,6540.165,34,00:00:01.418,1.418
162,156807,01:49:00.165,6540.165,156849,01:49:01.917,6541.917,42,00:00:01.752,1.752
163,156849,01:49:01.917,6541.917,157163,01:49:15.013,6555.013,314,00:00:13.096,13.096
164,157163,01:49:15.013,6555.013,157206,01:49:16.807,6556.807,43,00:00:01.793,1.793
165,157206,01:49:16.807,6556.807,157217,01:49:17.266,6557.266,11,00:00:00.459,0.459
166,157217,01:49:17.266,6557.266,157236,01:49:18.058,6558.058,19,00:00:00.792,0.792
167,157236,01:49:18.058,6558.058,157259,01:49:19.017,6559.017,23,00:00:00.959,0.959
168,157259,01:49:19.017,6559.017,157306,01:49:20.978,6560.978,47,00:00:01.960,1.960
169,157306,01:49:20.978,6560.978,157325,01:49:21.770,6561.770,19,00:00:00.792,0.792
170,157325,01:49:21.770,6561.770,157366,01:49:23.480,6563.480,41,00:00:01.710,1.710
171,157366,01:49:23.480,6563.480,157412,01:49:25.399,6565.399,46,00:00:01.919,1.919
172,157412,01:49:25.399,6565.399,157435,01:49:26.358,6566.358,23,00:00:00.959,0.959
173,157435,01:49:26.358,6566.358,157521,01:49:29.945,6569.945,86,00:00:03.587,3.587
174,157521,01:49:29.945,6569.945,157548,01:49:31.071,6571.071,27,00:00:01.126,1.126
175,157548,01:49:31.071,6571.071,157606,01:49:33.490,6573.490,58,00:00:02.419,2.419
176,157606,01:49:33.490,6573.490,157627,01:49:34.366,6574.366,21,00:00:00.876,0.876
177,157627,01:49:34.366,6574.366,157697,01:49:37.286,6577.286,70,00:00:02.920,2.920
178,157697,01:49:37.286,6577.286,157712,01:49:37.911,6577.911,15,00:00:00.626,0.626
179,157712,01:49:37.911,6577.911,157735,01:49:38.871,6578.871,23,00:00:00.959,0.959
